source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
MEOX1	CSTF2T	MEOX1	CSTF2T	0.2187	0.1985	0.1946	0.0830	0.0368
MEOX1	CT75	MEOX1	CT75	0.2302	-0.0104	-0.0045	-0.0102	0.9138
MEOX1	CTBP2	MEOX1	CTBP2	0.1488	0.5672	0.5039	0.4861	0.0000
MEOX1	CTDNEP1	MEOX1	CTDNEP1	0.1721	0.2215	0.1769	0.0909	0.0195
MEOX1	CTDSP2	MEOX1	CTDSP2	0.1934	0.2425	0.2174	0.1152	0.0103
MEOX1	CTNNA1	MEOX1	CTNNA1	0.1725	0.1404	0.0929	0.0600	0.1417
MEOX1	CTNS	MEOX1	CTNS	0.3625	0.2096	0.2249	0.0941	0.0272
MEOX1	CTSA	MEOX1	CTSA	0.2120	0.1566	0.0858	0.0626	0.1007
MEOX1	CTSL	MEOX1	CTSL	0.3069	0.4924	0.4367	0.7376	0.0000
MEOX1	CTSW	MEOX1	CTSW	0.4013	0.6555	0.6332	0.8032	0.0000
MEOX1	CUL3	MEOX1	CUL3	0.1460	-0.1485	-0.1767	-0.0608	0.1198
MEOX1	CWC27	MEOX1	CWC27	0.1622	0.1360	0.1315	0.0478	0.1546
MEOX1	CXCL17	MEOX1	CXCL17	0.1815	0.1235	0.1332	0.0906	0.1966
MEOX1	CXCR1	MEOX1	CXCR1	0.2591	0.3760	0.3267	0.4695	0.0000
MEOX1	CXCR2	MEOX1	CXCR2	0.3254	0.4546	0.4534	0.6193	0.0000
MEOX1	CXCR3	MEOX1	CXCR3	0.2988	0.1348	0.1089	0.1303	0.1585
MEOX1	CXCR5	MEOX1	CXCR5	0.1614	-0.0287	0.0520	-0.0188	0.7645
MEOX1	CXXC1	MEOX1	CXXC1	0.4518	0.2863	0.2129	0.1053	0.0023
MEOX1	CXXC5	MEOX1	CXXC5	0.1657	0.3092	0.3080	0.1747	0.0010
MEOX1	CYB561A3	MEOX1	CYB561A3	0.2208	0.2522	0.2456	0.1568	0.0076
MEOX1	CYBA	MEOX1	CYBA	0.1619	0.2730	0.2287	0.1205	0.0037
MEOX1	CYP11A1	MEOX1	CYP11A1	0.1492	0.1890	0.1874	0.1242	0.0470
MEOX1	CYP1A1	MEOX1	CYP1A1	0.1935	-0.0334	-0.0537	-0.0271	0.7277
MEOX1	CYP26B1	MEOX1	CYP26B1	0.1542	-0.0001	-0.0100	-0.0001	0.9994
MEOX1	CYP2S1	MEOX1	CYP2S1	0.3848	0.5593	0.4905	0.6390	0.0000
MEOX1	CYP3A52P	MEOX1	CYP3A52P	0.2596	-0.1250	-0.0847	-0.1114	0.1913
MEOX1	CYP46A1	MEOX1	CYP46A1	0.3171	-0.1235	-0.0978	-0.2204	0.1966
MEOX1	CYP4F12	MEOX1	CYP4F12	0.3593	0.2711	0.2775	0.2360	0.0040
MEOX1	CYP4F22	MEOX1	CYP4F22	0.3772	0.5963	0.5506	0.6846	0.0000
MEOX1	CYSLTR2	MEOX1	CYSLTR2	0.1448	0.4528	0.4246	0.5302	0.0000
MEOX1	CYTL1	MEOX1	CYTL1	0.4357	0.3019	0.2420	0.2092	0.0013
MEOX1	CYTOR	MEOX1	CYTOR	0.2421	0.3253	0.2890	0.3120	0.0005
MEOX1	DAB2	MEOX1	DAB2	0.2586	0.5298	0.5146	0.7003	0.0000
MEOX1	DAB2IP	MEOX1	DAB2IP	0.3079	-0.0196	-0.0258	-0.0415	0.8385
MEOX1	DAPP1	MEOX1	DAPP1	0.1818	0.2148	0.1861	0.1115	0.0236
MEOX1	DBH	MEOX1	DBH	0.2197	0.4882	0.4326	0.4110	0.0000
MEOX1	DBH-AS1	MEOX1	DBH-AS1	0.3395	0.5134	0.4465	0.5613	0.0000
MEOX1	DBN1	MEOX1	DBN1	0.1828	-0.0625	-0.0557	-0.0805	0.5149
MEOX1	DBR1	MEOX1	DBR1	0.1880	-0.0372	-0.0319	-0.0162	0.6982
MEOX1	DCAF10	MEOX1	DCAF10	0.1778	0.1817	0.1933	0.0884	0.0563
MEOX1	DCAF11	MEOX1	DCAF11	0.1529	0.1834	0.1546	0.0610	0.0540
MEOX1	DCAF7	MEOX1	DCAF7	0.2520	0.3063	0.2696	0.1318	0.0011
MEOX1	DCHS1	MEOX1	DCHS1	0.1595	-0.0048	0.0073	-0.0052	0.9600
MEOX1	DCLRE1A	MEOX1	DCLRE1A	0.1451	0.1161	0.1246	0.0655	0.2250
MEOX1	DCP1B	MEOX1	DCP1B	0.1983	0.3029	0.2883	0.1635	0.0012
MEOX1	DCP2	MEOX1	DCP2	0.1705	0.0798	0.1287	0.0318	0.4049
MEOX1	DCPS	MEOX1	DCPS	0.2747	0.3543	0.3079	0.1570	0.0001
MEOX1	DCT	MEOX1	DCT	0.1744	-0.0330	-0.0449	-0.0266	0.7306
MEOX1	DCXR-DT	MEOX1	DCXR-DT	0.2286	0.2109	0.2392	0.1480	0.0263
MEOX1	DDB2	MEOX1	DDB2	0.1660	0.1131	0.0772	0.0436	0.2374
MEOX1	DDHD2	MEOX1	DDHD2	0.1679	-0.0824	-0.0700	-0.0363	0.3897
MEOX1	DDIT4	MEOX1	DDIT4	0.1952	0.2563	0.2636	0.2385	0.0066
MEOX1	DDO	MEOX1	DDO	0.2245	0.4625	0.3952	0.3267	0.0000
MEOX1	DDX11L1	MEOX1	DDX11L1	0.2257	0.0692	0.0890	0.0499	0.4702
MEOX1	DDX18P5	MEOX1	DDX18P5	0.2235	-0.1778	-0.1937	-0.1350	0.0620
MEOX1	DDX21	MEOX1	DDX21	0.1916	-0.2482	-0.2231	-0.1696	0.0086
MEOX1	DDX43	MEOX1	DDX43	0.2986	-0.0220	0.0724	-0.0482	0.8190
MEOX1	DDX59-AS1	MEOX1	DDX59-AS1	0.2023	0.0627	0.0871	0.0845	0.5133
MEOX1	DEAF1	MEOX1	DEAF1	0.2228	0.2861	0.2799	0.1305	0.0023
MEOX1	DECR2	MEOX1	DECR2	0.3503	0.1235	0.1524	0.0658	0.1966
MEOX1	DEFA6	MEOX1	DEFA6	0.1644	0.1125	0.0929	0.1385	0.2397
MEOX1	DEPDC1P2	MEOX1	DEPDC1P2	0.2493	-0.2133	-0.2206	-0.2010	0.0246
MEOX1	DEPDC7	MEOX1	DEPDC7	0.3122	0.0838	0.1006	0.0688	0.3819
MEOX1	DEXI	MEOX1	DEXI	0.1934	0.2665	0.2872	0.2116	0.0047
MEOX1	DFFB	MEOX1	DFFB	0.2515	0.2578	0.2265	0.1424	0.0063
MEOX1	DGCR8	MEOX1	DGCR8	0.1761	0.3424	0.3255	0.1205	0.0002
MEOX1	DGKA	MEOX1	DGKA	0.1798	0.1335	0.1356	0.0476	0.1626
MEOX1	DGKH	MEOX1	DGKH	0.1646	0.0613	0.0564	0.1187	0.5230
MEOX1	DHFR	MEOX1	DHFR	0.2215	0.1542	0.1519	0.0949	0.1062
MEOX1	DHRS2	MEOX1	DHRS2	0.1507	-0.1838	-0.2297	-0.1699	0.0534
MEOX1	DHRS3	MEOX1	DHRS3	0.1488	0.5455	0.5398	0.7245	0.0000
MEOX1	DHRS4	MEOX1	DHRS4	0.1834	0.2773	0.2332	0.1367	0.0032
MEOX1	DHTKD1	MEOX1	DHTKD1	0.2019	0.1581	0.1747	0.0663	0.0974
MEOX1	DHX35-DT	MEOX1	DHX35-DT	0.2171	-0.0829	-0.0636	-0.0630	0.3873
MEOX1	DHX8	MEOX1	DHX8	0.1495	-0.0622	-0.0600	-0.0232	0.5168
MEOX1	DIAPH3	MEOX1	DIAPH3	0.2232	0.1170	0.0744	0.0973	0.2215
MEOX1	DIRAS1	MEOX1	DIRAS1	0.2138	-0.1982	-0.2190	-0.3247	0.0371
MEOX1	DLC1	MEOX1	DLC1	0.2533	0.4680	0.3914	0.4249	0.0000
MEOX1	DLD	MEOX1	DLD	0.1521	-0.0904	-0.0716	-0.0367	0.3454
MEOX1	DLEU2L	MEOX1	DLEU2L	0.2433	-0.1184	-0.0508	-0.0742	0.2157
