Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
merged_WikiPathway_2021_Human.gmt	Cannabinoid receptor signaling WP3869	1/57	6.993513e-01	8.731422e-01	1.245436e+00	4.453705e-01	CNR1
merged_WikiPathway_2021_Human.gmt	Canonical and non-canonical Notch signaling WP3845	1/53	6.728235e-01	8.613725e-01	1.340859e+00	5.313452e-01	NOTCH2
merged_WikiPathway_2021_Human.gmt	Canonical and non-canonical TGF-B signaling WP3874	1/33	5.009092e-01	7.983498e-01	2.170307e+00	1.500399e+00	SMAD3
merged_WikiPathway_2021_Human.gmt	Cardiac Hypertrophic Response WP2795	4/108	1.875815e-01	7.518193e-01	2.038990e+00	3.412335e+00	IKBKB;PRKCA;NFATC2;NPPA
merged_WikiPathway_2021_Human.gmt	Cardiac Progenitor Differentiation WP2406	2/104	6.410447e-01	8.486211e-01	1.144285e+00	5.088134e-01	TBXT;MEF2C
merged_WikiPathway_2021_Human.gmt	Cell Differentiation - Index WP2029	1/25	4.092037e-01	7.827428e-01	2.881262e+00	2.574529e+00	MEF2C
merged_WikiPathway_2021_Human.gmt	Cell Differentiation - Index expanded WP2023	1/37	5.412999e-01	7.983498e-01	1.931698e+00	1.185641e+00	MEF2C
merged_WikiPathway_2021_Human.gmt	Cell cycle WP179	4/239	7.373506e-01	8.740061e-01	8.929394e-01	2.720713e-01	CHEK2;SMAD3;E2F3;MIF-AS1
merged_WikiPathway_2021_Human.gmt	Cell-type Dependent Selectivity of CCK2R Signaling WP3679	1/25	4.092037e-01	7.827428e-01	2.881262e+00	2.574529e+00	CNR1
merged_WikiPathway_2021_Human.gmt	Chemokine signaling pathway WP3929	10/327	1.445521e-01	7.333598e-01	1.577344e+00	3.050764e+00	IKBKB;GNB4;STAT1;CCR6;ADCY9;SOS1;VAV1;PIK3R3;PTK2B;STAT2
merged_WikiPathway_2021_Human.gmt	Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4718	1/91	8.536707e-01	9.191494e-01	7.749102e-01	1.225984e-01	CRYZL2P-SEC16B
merged_WikiPathway_2021_Human.gmt	Chromosomal and microsatellite instability in colorectal cancer  WP4216	2/145	8.085864e-01	9.021397e-01	8.140009e-01	1.729489e-01	SMAD3;TCF7
merged_WikiPathway_2021_Human.gmt	Ciliary landscape WP4352	3/426	9.941750e-01	9.941750e-01	3.770734e-01	2.202859e-03	MAPK4;PCAT6;ZMYND19
merged_WikiPathway_2021_Human.gmt	Ciliopathies WP4803	5/355	8.666502e-01	9.214328e-01	7.281996e-01	1.042198e-01	OLMALINC;RUNDC3A-AS1;RWDD3-DT;BCL10-AS1;KCNQ1OT1
merged_WikiPathway_2021_Human.gmt	Circadian rhythm related genes WP3594	7/401	7.346836e-01	8.740061e-01	8.866975e-01	2.733824e-01	CRY1;KLF9;DRD4;EGR3;KLF10;ZFHX3;BHLHE41
merged_WikiPathway_2021_Human.gmt	Common Pathways Underlying Drug Addiction WP2636	4/83	9.442017e-02	7.333598e-01	2.686873e+00	6.341021e+00	MAPK4;PRKCA;DRD4;KRTAP5-AS1
merged_WikiPathway_2021_Human.gmt	Complement Activation WP545	1/42	5.872422e-01	8.329252e-01	1.698121e+00	9.039403e-01	CRYZL2P-SEC16B
merged_WikiPathway_2021_Human.gmt	Complement and Coagulation Cascades WP558	4/114	2.133059e-01	7.597631e-01	1.927120e+00	2.977455e+00	CRYZL2P-SEC16B;LINC02362;LINC02532;CR1
merged_WikiPathway_2021_Human.gmt	Complement system WP2806	7/193	1.081453e-01	7.333598e-01	1.915733e+00	4.261125e+00	LINC02362;CR1;CRYZL2P-SEC16B;CD19;LINC02532;PRKCA;TLR2
merged_WikiPathway_2021_Human.gmt	Composition of Lipid Particles WP3601	1/17	3.007402e-01	7.673035e-01	4.281627e+00	5.144412e+00	LPL
merged_WikiPathway_2021_Human.gmt	Computational Model of Aerobic Glycolysis WP4629	2/23	8.194070e-02	7.333598e-01	5.499428e+00	1.375825e+01	ENO1;TPI1
merged_WikiPathway_2021_Human.gmt	Constitutive Androstane Receptor Pathway WP2875	1/63	7.351816e-01	8.740061e-01	1.125203e+00	3.461548e-01	RXRA
merged_WikiPathway_2021_Human.gmt	Copper homeostasis WP3286	1/103	8.865757e-01	9.288996e-01	6.833703e-01	8.227013e-02	SOD1
merged_WikiPathway_2021_Human.gmt	Cori Cycle WP1946	4/33	4.647191e-03	2.422348e-01	7.276956e+00	3.908812e+01	PFKP;MIR210HG;TALDO1;TPI1
merged_WikiPathway_2021_Human.gmt	Corticotropin-releasing hormone signaling pathway WP2355	3/185	7.446587e-01	8.740061e-01	8.967671e-01	2.643932e-01	MAPK4;GRK3;PRKCA
merged_WikiPathway_2021_Human.gmt	Cytokines and Inflammatory Response WP530	2/51	2.869893e-01	7.673035e-01	2.382017e+00	2.973497e+00	PDGFA;IL15
merged_WikiPathway_2021_Human.gmt	Cytoplasmic Ribosomal Proteins WP477	1/176	9.760725e-01	9.807764e-01	3.962106e-01	9.595608e-03	MIF-AS1
merged_WikiPathway_2021_Human.gmt	Cytosolic DNA-sensing pathway WP4655	1/147	9.555414e-01	9.671378e-01	4.760257e-01	2.164830e-02	IKBKB
merged_WikiPathway_2021_Human.gmt	DNA IR-damage and cellular response via ATR WP4016	4/158	4.180263e-01	7.923498e-01	1.372237e+00	1.196880e+00	CHEK2;CLK2;FIRRE;MIF-AS1
merged_WikiPathway_2021_Human.gmt	DNA IR-double strand breaks and cellular response via ATM WP3959	2/108	6.614369e-01	8.613725e-01	1.100868e+00	4.550334e-01	CHEK2;MIF-AS1
merged_WikiPathway_2021_Human.gmt	DNA Mismatch Repair WP531	1/45	6.125780e-01	8.342963e-01	1.583170e+00	7.758783e-01	MIF-AS1
merged_WikiPathway_2021_Human.gmt	DNA Repair Pathways Full Network WP4946	3/238	8.768663e-01	9.257045e-01	6.912402e-01	9.082944e-02	FIRRE;MPG;MIF-AS1
merged_WikiPathway_2021_Human.gmt	DNA damage response (only ATM dependent) WP710	7/218	1.695054e-01	7.415357e-01	1.685035e+00	2.990719e+00	MIF-AS1;INSR;TCF7;SOS1;PIK3R3;SMAD3;WNT5A
merged_WikiPathway_2021_Human.gmt	DNA damage response WP707	2/134	7.721001e-01	8.943492e-01	8.825505e-01	2.282638e-01	CHEK2;MIF-AS1
merged_WikiPathway_2021_Human.gmt	Development and heterogeneity of the ILC family WP3893	2/63	3.784827e-01	7.827428e-01	1.914948e+00	1.860535e+00	GFI1;IL15
merged_WikiPathway_2021_Human.gmt	Development of ureteric collection system WP5053	3/93	3.054493e-01	7.673035e-01	1.825141e+00	2.164565e+00	FOXC1;SHH;MIF-AS1
merged_WikiPathway_2021_Human.gmt	Differentiation Pathway WP2848	3/95	3.168764e-01	7.817817e-01	1.785323e+00	2.051771e+00	SHH;WNT5A;PDGFA
merged_WikiPathway_2021_Human.gmt	Differentiation of white and brown adipocyte WP2895	1/49	6.439669e-01	8.497917e-01	1.452022e+00	6.390466e-01	PRDM16
merged_WikiPathway_2021_Human.gmt	Disruption of postsynaptic signaling by CNV WP4875	1/65	7.461539e-01	8.740061e-01	1.090096e+00	3.192056e-01	MAPK4
merged_WikiPathway_2021_Human.gmt	Dopamine metabolism WP2436	1/25	4.092037e-01	7.827428e-01	2.881262e+00	2.574529e+00	SOD1
merged_WikiPathway_2021_Human.gmt	Dopaminergic Neurogenesis WP2855	2/59	3.484009e-01	7.827428e-01	2.048977e+00	2.160444e+00	MSX1;SHH
merged_WikiPathway_2021_Human.gmt	Drug Induction of Bile Acid Pathway WP2289	2/33	1.498236e-01	7.333598e-01	3.749861e+00	7.118347e+00	NR1I2;VDR
merged_WikiPathway_2021_Human.gmt	EDA signaling in hair follicle development WP3930	1/25	4.092037e-01	7.827428e-01	2.881262e+00	2.574529e+00	SHH
merged_WikiPathway_2021_Human.gmt	EGF/EGFR signaling pathway WP437	15/322	2.977998e-03	2.069709e-01	2.466650e+00	1.434728e+01	MAPK4;PLD1;MIF-AS1;MYBL2;MEF2C;STAT1;SOS1;GAB1;ARHGEF1;VAV1;PTK2B;GAS6-AS1;CAV1;PLSCR1;PRKCA
merged_WikiPathway_2021_Human.gmt	EGFR Tyrosine Kinase Inhibitor Resistance WP4806	7/167	5.981106e-02	7.333598e-01	2.231897e+00	6.286281e+00	MAPK4;PDGFA;MIF-AS1;SOS1;GAB1;PIK3R3;PRKCA
merged_WikiPathway_2021_Human.gmt	EPO Receptor Signaling WP581	2/51	2.869893e-01	7.673035e-01	2.382017e+00	2.973497e+00	SOS1;STAT1
merged_WikiPathway_2021_Human.gmt	ESC Pluripotency Pathways WP3931	9/231	5.220371e-02	7.333598e-01	2.046233e+00	6.041712e+00	MAPK4;FGFR1;MIF-AS1;PDGFA;LRP5;SOS1;GAB1;WNT5A;FZD2
merged_WikiPathway_2021_Human.gmt	EV release from cardiac cells and their functional effects WP3297	1/13	2.392929e-01	7.597631e-01	5.653986e+00	8.085579e+00	MYB
merged_WikiPathway_2021_Human.gmt	Ebola Virus Pathway on Host WP4217	6/257	4.461139e-01	7.983498e-01	1.217302e+00	9.825832e-01	STAT1;PIK3R3;FLNB;DAB2IP;GAS6-AS1;CAV1
merged_WikiPathway_2021_Human.gmt	Ebstein-Barr virus LMP1 signaling WP262	1/44	6.043096e-01	8.342963e-01	1.619725e+00	8.158048e-01	IKBKB
merged_WikiPathway_2021_Human.gmt	Ectoderm Differentiation WP2858	13/273	4.634829e-03	2.422348e-01	2.522969e+00	1.355883e+01	HMGB2;MAPK4;KRTAP5-AS1;SHH;MIR9-3HG;LINC01833;RHPN1;CELSR2;PAN2;PRDM16-DT;KCNQ1OT1;HDAC6;PPARD
merged_WikiPathway_2021_Human.gmt	Eicosanoid Synthesis WP167	1/52	6.658353e-01	8.613725e-01	1.367031e+00	5.559891e-01	TBXAS1
merged_WikiPathway_2021_Human.gmt	Eicosanoid metabolism via cyclooxygenases (COX) WP4719	3/59	1.242421e-01	7.333598e-01	2.933368e+00	6.117606e+00	CRYZL2P-SEC16B;TBXAS1;PPARD
merged_WikiPathway_2021_Human.gmt	Eicosanoid metabolism via lipooxygenases (LOX) WP4721	2/57	3.331766e-01	7.827428e-01	2.123236e+00	2.333611e+00	CRYZL2P-SEC16B;PPARD
merged_WikiPathway_2021_Human.gmt	Electron Transport Chain (OXPHOS system in mitochondria) WP111	3/205	8.041831e-01	9.021397e-01	8.065708e-01	1.757746e-01	ZFP28-DT;FGF14-AS2;MIR4458HG
merged_WikiPathway_2021_Human.gmt	Endochondral Ossification WP474	4/127	2.719179e-01	7.661470e-01	1.722026e+00	2.242517e+00	FGFR1;SERPINH1;STAT1;MEF2C
merged_WikiPathway_2021_Human.gmt	Endochondral Ossification with Skeletal Dysplasias WP4808	4/127	2.719179e-01	7.661470e-01	1.722026e+00	2.242517e+00	FGFR1;SERPINH1;STAT1;MEF2C
merged_WikiPathway_2021_Human.gmt	Endoderm differentiation WP2853	9/280	1.301633e-01	7.333598e-01	1.668629e+00	3.402277e+00	PAX9;MIF-AS1;DUSP4;STAT1;TCF7;SMAD3;FIRRE;HOXA1;AHDC1
merged_WikiPathway_2021_Human.gmt	Endometrial cancer WP4155	5/125	1.193861e-01	7.333598e-01	2.167996e+00	4.607842e+00	MAPK4;FGFR1;TCF7;SOS1;PIK3R3
merged_WikiPathway_2021_Human.gmt	Endoplasmic reticulum stress response in coronavirus infection WP4861	1/93	8.597500e-01	9.191494e-01	7.580042e-01	1.145448e-01	MAPK4
merged_WikiPathway_2021_Human.gmt	Endothelin Pathways WP2197	3/65	1.530031e-01	7.333598e-01	2.650184e+00	4.975181e+00	MAPK4;MYLK;PRKCA
merged_WikiPathway_2021_Human.gmt	Energy Metabolism WP1541	3/93	3.054493e-01	7.673035e-01	1.825141e+00	2.164565e+00	RXRA;PPARD;MEF2C
merged_WikiPathway_2021_Human.gmt	Envelope proteins and their potential roles in EDMD physiopathology WP4535	4/89	1.143192e-01	7.333598e-01	2.496827e+00	5.415021e+00	ADCY9;SMAD3;SOS1;MAPK4
merged_WikiPathway_2021_Human.gmt	Epithelial to mesenchymal transition in colorectal cancer WP4239	8/319	3.459555e-01	7.827428e-01	1.289737e+00	1.368985e+00	MIF-AS1;LRP5;SOS1;NOTCH2;PIK3R3;SMAD3;WNT5A;FZD2
merged_WikiPathway_2021_Human.gmt	ErbB signaling pathway WP673	6/181	1.759182e-01	7.479801e-01	1.757889e+00	3.054747e+00	MAPK4;MIF-AS1;SOS1;GAB1;PIK3R3;PRKCA
merged_WikiPathway_2021_Human.gmt	Estrogen metabolism WP697	1/34	5.113271e-01	7.983498e-01	2.105313e+00	1.412129e+00	ARSD
merged_WikiPathway_2021_Human.gmt	Estrogen signaling pathway WP712	1/45	6.125780e-01	8.342963e-01	1.583170e+00	7.758783e-01	IKBKB
merged_WikiPathway_2021_Human.gmt	Ethanol effects on histone modifications WP3996	1/61	7.237374e-01	8.740061e-01	1.162631e+00	3.759096e-01	HDAC6
merged_WikiPathway_2021_Human.gmt	Exercise-induced Circadian Regulation WP410	3/94	3.111612e-01	7.723466e-01	1.805014e+00	2.107254e+00	MAPK4;KLF9;CRY1
merged_WikiPathway_2021_Human.gmt	Extracellular vesicle-mediated signaling in recipient cells WP2870	3/59	1.242421e-01	7.333598e-01	2.933368e+00	6.117606e+00	SMAD3;TGFBR3;WNT5A
merged_WikiPathway_2021_Human.gmt	Extracellular vesicles in the crosstalk of cardiac cells WP4300	1/37	5.412999e-01	7.983498e-01	1.931698e+00	1.185641e+00	SOD1
merged_WikiPathway_2021_Human.gmt	FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma WP4553	1/60	7.178320e-01	8.740061e-01	1.182288e+00	3.919519e-01	KDM2B
merged_WikiPathway_2021_Human.gmt	FGF23 signaling in hypophosphatemic rickets and related disorders WP4790	1/43	5.958656e-01	8.338119e-01	1.658001e+00	8.584137e-01	PHEX
merged_WikiPathway_2021_Human.gmt	FGFR3 signaling in chondrocyte proliferation and terminal differentiation WP4767	1/53	6.728235e-01	8.613725e-01	1.340859e+00	5.313452e-01	STAT1
merged_WikiPathway_2021_Human.gmt	FTO Obesity Variant Mechanism WP3407	1/15	2.706604e-01	7.661470e-01	4.873161e+00	6.368688e+00	PRDM16
merged_WikiPathway_2021_Human.gmt	Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling WP3850	1/73	7.856992e-01	8.976345e-01	9.690379e-01	2.337137e-01	PLD1
merged_WikiPathway_2021_Human.gmt	Farnesoid X receptor pathway WP2879	1/37	5.412999e-01	7.983498e-01	1.931698e+00	1.185641e+00	RXRA
merged_WikiPathway_2021_Human.gmt	Fatty Acid Biosynthesis WP357	2/43	2.250614e-01	7.597631e-01	2.843458e+00	4.240682e+00	CRYZL2P-SEC16B;HADH
merged_WikiPathway_2021_Human.gmt	Fatty acid beta-oxidation WP143	5/67	1.265366e-02	3.768982e-01	4.204143e+00	1.837130e+01	CRYZL2P-SEC16B;HADH;ECI1;LPL;TPI1
merged_WikiPathway_2021_Human.gmt	Ferroptosis WP4313	4/79	8.215955e-02	7.333598e-01	2.830351e+00	7.073308e+00	CYBB;SAT2;SLC39A14;CCR5AS
merged_WikiPathway_2021_Human.gmt	Fibrin Complement Receptor 3 Signaling Pathway WP4136	1/81	8.191082e-01	9.054090e-01	8.720410e-01	1.740063e-01	IKBKB
merged_WikiPathway_2021_Human.gmt	Fluoropyrimidine Activity WP1601	2/65	3.933094e-01	7.827428e-01	1.854266e+00	1.730325e+00	RRM2;DPYD
merged_WikiPathway_2021_Human.gmt	Focal Adhesion WP306	14/395	3.638920e-02	6.316607e-01	1.836732e+00	6.085982e+00	MAPK4;MIF-AS1;PDGFA;SOS1;MYLK;VAV1;PRDM16-DT;PIK3R3;FLNB;ITGB5;FLNB-AS1;GAS6-AS1;CAV1;PRKCA
merged_WikiPathway_2021_Human.gmt	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	11/605	7.212049e-01	8.740061e-01	9.009379e-01	2.944554e-01	MAPK4;CREB3;IKBKB;FGFR1;PDGFA;MIF-AS1;GNB4;INSR;SOS1;ITGB5;FLNB-AS1
merged_WikiPathway_2021_Human.gmt	Folate Metabolism WP176	4/137	3.187120e-01	7.817817e-01	1.591442e+00	1.819762e+00	INSR;SOD1;CRYZL2P-SEC16B;LINC02532
merged_WikiPathway_2021_Human.gmt	Follicle Stimulating Hormone (FSH) signaling pathway WP2035	1/52	6.658353e-01	8.613725e-01	1.367031e+00	5.559891e-01	PRKCA
merged_WikiPathway_2021_Human.gmt	Fragile X Syndrome  WP4549	8/241	1.301975e-01	7.333598e-01	1.734254e+00	3.535627e+00	MAPK4;KRTAP5-AS1;MIR9-3HG;CNR1;SOS1;GAB1;PRDM16-DT;PRKCA
merged_WikiPathway_2021_Human.gmt	G Protein Signaling Pathways WP35	5/185	3.411239e-01	7.827428e-01	1.438647e+00	1.547278e+00	MAPK4;ADCY9;ARHGEF1;AKAP12;PRKCA
merged_WikiPathway_2021_Human.gmt	G1 to S cell cycle control WP45	3/127	4.948328e-01	7.983498e-01	1.322211e+00	9.302223e-01	E2F3;CREB3;MIF-AS1
merged_WikiPathway_2021_Human.gmt	G13 Signaling Pathway WP524	3/77	2.156881e-01	7.597631e-01	2.220655e+00	3.406312e+00	MAPK4;ARHGEF1;RTKN
merged_WikiPathway_2021_Human.gmt	GABA receptor Signaling WP4159	2/61	3.635083e-01	7.827428e-01	1.979710e+00	2.003374e+00	MAPK4;GAD2
merged_WikiPathway_2021_Human.gmt	GDNF/RET signaling axis WP4830	2/45	2.405005e-01	7.597631e-01	2.712186e+00	3.864955e+00	FOXC1;MIF-AS1
merged_WikiPathway_2021_Human.gmt	GPCRs, Class A Rhodopsin-like WP455	5/513	9.840433e-01	9.864088e-01	4.938165e-01	7.943236e-03	CCR6;GPR34;DRD4;CCRL2;CNR1
merged_WikiPathway_2021_Human.gmt	GPCRs, Class C Metabotropic glutamate, pheromone WP501	1/29	4.569800e-01	7.983498e-01	2.475893e+00	1.938910e+00	MAPK4
merged_WikiPathway_2021_Human.gmt	GPCRs, Other WP117	4/181	5.225854e-01	7.983498e-01	1.191669e+00	7.733539e-01	CELSR2;CNR1;DRD4;GPR183
merged_WikiPathway_2021_Human.gmt	GPR40 Pathway WP3958	1/29	4.569800e-01	7.983498e-01	2.475893e+00	1.938910e+00	PLCD3
merged_WikiPathway_2021_Human.gmt	Gastric Cancer Network 1 WP2361	2/56	3.255261e-01	7.827428e-01	2.162409e+00	2.426899e+00	E2F7;MYBL2
merged_WikiPathway_2021_Human.gmt	Gastrin signaling pathway WP4659	7/227	1.947158e-01	7.518193e-01	1.614790e+00	2.642142e+00	IKBKB;MIF-AS1;MEF2C;SOS1;PIK3R3;GAS6-AS1;PRKCA
merged_WikiPathway_2021_Human.gmt	Genes controlling nephrogenesis WP4823	3/85	2.600413e-01	7.661470e-01	2.003722e+00	2.698843e+00	FOXC1;SHH;NOTCH2
merged_WikiPathway_2021_Human.gmt	Genes related to primary cilium development (based on CRISPR) WP4536	2/199	9.223226e-01	9.476365e-01	5.882370e-01	4.756501e-02	RUNDC3A-AS1;KCNQ1OT1
merged_WikiPathway_2021_Human.gmt	Genes targeted by miRNAs in adipocytes WP1992	1/25	4.092037e-01	7.827428e-01	2.881262e+00	2.574529e+00	KCNJ2
