pmcid	pmcidTitle	table	column	description	geneSetSize	nOverlap	oddsRatio	pvalue	adjPvalue	geneSetHash
PMC9313499	Human Mesenchymal Stem Cell‐Derived Miniature Joint System for Disease Modeling and Drug Testing	ADVS-9-2105909-s002.xlsx	Table_S7_for_Fig_S18d-Unnamed_5	much higher collagen type II (COL2) and aggrecan (ACAN) expression (Figure 2e; and Table **S2**)  Supplemental Table 1  Click here for additional data file	245	6	6.401255886970174	0.0003521750692880521	0.012735498213104157	b1adf9d1-0a47-5c84-be4f-f7610c49ad4b
PMC10065799	High-throughput profiling of sequence recognition by tyrosine kinases and SH2 domains using bacterial peptide display	elife-82345-fig4-data1.xlsx	kinase-vs-peptide-Gene	directly calculated enrichment scores for each peptide in the pTyr-Var library (Figure 4A and **Figure 4—source data 1**)  Enrichment scores from tyrosine kinase pTyr-Var screens.Data are provided in a flat sheet with average and standard deviation values for all kinase-substrate pairs. Data are also provided for each kinase as a side-by-side comparison of enrichment scores reference and variant sequences and whether the mutation was considered a significant in our analysis. Three sheets are provided listing substrates for c-Src, Fyn, and c-Abl that are also found in a curated list of kinase-substrate pairs in the PhosphositePlus database	1969	18	2.3943628890193773	0.00035327546861312965	0.012773510607571746	cfb775d5-bff0-5a40-8339-d2f990b8358d
PMC10065799	High-throughput profiling of sequence recognition by tyrosine kinases and SH2 domains using bacterial peptide display	elife-82345-fig6-data2.xlsx	SH2-vs-peptide-Gene	screened the pTyr-Var library against the same three SH2 domains in triplicate (Figure 6C, **Figure 6—source data 2**)  Enrichment scores from SH2 domain pTyr-Var screens.Data are provided in a flat sheet with average and standard deviation values for all SH2-ligand pairs. Data are also provided for each SH2 domain as a side-by-side comparison of enrichment scores reference and variant sequences and whether the mutation was considered a significant in our analysis	1969	18	2.3943628890193773	0.00035327546861312965	0.012773510607571746	cfb775d5-bff0-5a40-8339-d2f990b8358d
PMC5813380	Differential expression of mRNA isoforms in the skeletal muscle of pigs with distinct growth and fatness profiles	12864_2018_4515_MOESM3_ESM.xlsx	Table_S3-Unnamed_2	protein-coding genes expressed in the GM muscle of HIGH and LOW swine which produced 58**3**  Alternatively spliced mRNA isoforms identified in the porcine gluteus medius muscle of Duroc pigs by CLC Bio and/or STAR/RSEM/ DESEq2. (XLSX 569 kb)	1966	18	2.3943628890193773	0.00035327546861312965	0.012773510607571746	2b4c2426-dc00-5244-8169-8da6ddfedb36
PMC10590445	Mass production of lumenogenic human embryoid bodies and functional cardiospheres using in-air-generated microcapsules	41467_2023_42297_MOESM10_ESM.xlsx	AllDEGenes_PerCluster_FigS12ac-gene	Source Data	1965	18	2.3943628890193773	0.00035327546861312965	0.012773510607571746	7de3da15-dcd8-53ed-bca1-f19087a2edb0
PMC7938756	TIM-3 as a Prognostic Marker and a Potential Immunotherapy Target in Human Malignant Tumors: A Meta-Analysis and Bioinformatics Validation	Table_1.docx	0-Gene_symbol	> 0.25 were applied for TIM-3. Finally, 733 genes were significantly correlated with TIM-3 (**Table S1**)  Click here for additional data file	579	9	4.0700026616981635	0.00035352279169788124	0.012780078010924264	55ce298c-a5e9-5f64-8d7f-3b2248bb9516
PMC8261504	Co‐Targeting Plk1 and DNMT3a in Advanced Prostate Cancer	ADVS-8-2101458-s013.xlsx	S_Table_8_3_GSE21032-Unnamed_154	Supporting Table 8.3  Click here for additional data file	578	9	4.0700026616981635	0.00035352279169788124	0.012780078010924264	6c744a44-6a1f-533d-927d-b8c0c6de2a6d
PMC5111277	DGCA: A comprehensive R package for Differential Gene Correlation Analysis	12918_2016_349_MOESM1_ESM.tsv	Gene		578	9	4.0700026616981635	0.00035352279169788124	0.012780078010924264	70a02294-635f-56be-89c7-70fc2b05c0fa
PMC4741438	Targeting the SIN3A-PF1 interaction inhibits epithelial to mesenchymal transition and maintenance of a stem cell phenotype in triple negative breast cancer	oncotarget-06-34087-s005.xlsx	Table_S6-Upstream_Regulator	−2.6 and SMAD4 (z score: −2.2), four major inducers of EMT (Tables S5 and **S6**)	580	9	4.0700026616981635	0.00035352279169788124	0.012780078010924264	1f5def9d-302d-54c1-8060-801a07cde7eb
PMC8633313	Deconvolution of Bulk Gene Expression Profiles with Single-Cell Transcriptomics to Develop a Cell Type Composition-Based Prognostic Model for Acute Myeloid Leukemia	DataSheet1.xlsx	Table_S5-Table_S5_The_reference_matrix_GES150	Click here for additional data file	1791	17	2.481037666967315	0.0003538496414289706	0.0127912996425421	2f5c7f2e-39c7-586b-b4e9-c784cdb845e1
PMC8186905	Tendon and motor phenotypes in the Crtap-/- mouse model of recessive osteogenesis imperfecta	elife-63488-fig6-data2.xlsx	Sheet1-Figure_6-source_data_2_Predicted_upstream_regulators_driving_differential_gene_expression_between_1-month_wildtype_and_Crtap_knockout_Achilles_tendons	Crtap-/- compared to wildtype Achilles tendons plotted according to their -log10 adjusted p-value. See **Figure 6—source data 2**  Predicted upstream regulators driving differential gene expression between 1-month wildtype and Crtap knockout Achilles tendons.Based on a list of differentially expressed genes, upstream regulators were predicted using Ingenuity Pathway Analysis. The results are sorted by adjusted p-value	848	11	3.4026399635867093	0.0003541286033783091	0.012800789218173202	6c06ca00-9ee4-58ec-8525-778aac0f8ce8
PMC11688194	Impact of COVID-19, lockdowns and vaccination on immune responses in a HIV cohort in the Netherlands	Table1.xlsx	Table_S13-Table_S13		989	12	3.171501905576729	0.00035431907942269284	0.012807079535203481	a5b8d993-b9fa-589e-ba3d-56dfc1680883
PMC9395416	The whole blood transcriptional regulation landscape in 465 COVID-19 infected samples from Japan COVID-19 Task Force	41467_2022_32276_MOESM3_ESM.xlsx	Supplementary_Data_4-gene_name	We performed an eQTL call for **1**  Supplementary Data 1-10	457	8	4.575660663188016	0.0003543896292721674	0.012807250178510253	6a8df41a-d724-5de8-a4ef-cde1210f5c44
PMC4231109	Genome-Wide Microarray Expression and Genomic Alterations by Array-CGH Analysis in Neuroblastoma Stem-Like Cells	pone.0113105.s001.xls	UP_and_DOWNREGULATED_GENES-SIMA_DOWNREGULATED	The sets of genes up and dowregulated for each cell line are summarized in **Table S1**  Supplementary data. Up and downregulated genes list from the expression array in each cell line.(XLS)  Click here for additional data file	457	8	4.575660663188016	0.0003543896292721674	0.012807250178510253	ab89be4f-6be8-5c37-b691-e2f483af15eb
PMC7893923	Distinct mechanisms of resistance to fulvestrant treatment dictate level of ER independence and selective response to CDK inhibitors in metastatic breast cancer	13058_2021_1402_MOESM1_ESM.xlsx	533_genes_up-down-up_HCC1428-Unnamed_1	Total RNA was extracted from parental CAMA-**1**  Additional file 1. Table showing normalized gene expression data from parental and fulvestrant-resistant CAMA-1, MCF7, T47D and HCC1428 cell lines	457	8	4.575660663188016	0.0003543896292721674	0.012807250178510253	cdd2f870-5112-5622-9ad3-e04d46fefa52
PMC10235070	Organoid-based single-cell spatiotemporal gene expression landscape of human embryonic development and hematopoiesis	41392_2023_1455_MOESM3_ESM.xlsx	Sheet1-gene	from human pluripotent stem cells proficient in both the extra-embryonic lineage and three germ layers.**2**  Supplementary Table 2	457	8	4.575660663188016	0.0003543896292721674	0.012807250178510253	bc40678c-c235-5bf0-ab85-04e3ef2da576
PMC5719962	Constructing a comprehensive gene co-expression based interactome in Bos taurus	peerj-05-4107-s005.xlsx	thredhold_0_3_edgeData-FromNode	With a TOM >0.1, the interactome comprised 4,403 genes with 72,306 significant co-expression pairs (**Table S4**)  The edge information for the networks based on the weight threshold of 0.1 and 0.3  Click here for additional data file	708	10	3.691873098652759	0.0003548922276280651	0.012821245760344211	56c0ca50-4d93-5ee4-b651-5af71b5af921
PMC5797088	Differential long non-coding RNA expression profiles in human oocytes and cumulus cells	41598_2018_20727_MOESM7_ESM.xls	eQTL_linked_lncRNA_mRNA_pairs-Unnamed_4	Dataset 5	708	10	3.691873098652759	0.0003548922276280651	0.012821245760344211	f45fa465-112d-55e2-8a4c-807e8488a7b4
PMC10091881	Single-cell profiling of GP2-enriched pancreatic progenitors to simultaneously create acinar, ductal, and endocrine organoids	thnov13p1949s5.xlsx	hierarchical_clustering-cells_cluster_membership--	Supplementary table 9  Click here for additional data file	708	10	3.691873098652759	0.0003548922276280651	0.012821245760344211	789e647f-1d90-5ff2-ba6e-744b0d257f5f
PMC9271745	The Big Picture of Neurodegeneration: A Meta Study to Extract the Essential Evidence on Neurodegenerative Diseases in a Network-Based Approach	Table_1.xlsx	AD-Unnamed_36	gene cluster containing the gene or process of interest can be extracted from the **Supplementary Data**  Click here for additional data file	708	10	3.691873098652759	0.0003548922276280651	0.012821245760344211	504e73f2-b8d2-5b5a-9d86-ea93081dc216
PMC4116208	Identification of a Novel Luminal Molecular Subtype of Breast Cancer	pone.0103514.s002.xls	Sheet1-Gene_Symbol	assignments among our collection of breast tumor profiles we used 710 intrinsic genes (see **Table S1**)  710 intrinsic genes used for assigning molecular subtypes to 1,593 tumor samples. (XLS)  Click here for additional data file	708	10	3.691873098652759	0.0003548922276280651	0.012821245760344211	b843b060-514f-501f-aca3-a8078c7011c9
PMC5516853	Not just a colourful metaphor: modelling the landscape of cellular development using Hopfield networks	npjsba20161-s5.xls	Sheet1-Unnamed_23	S2; for all others please see the Supplementary Material (Supplementary Tables S1, S3 and **S4**)  Click here for additional data file	709	10	3.691873098652759	0.0003548922276280651	0.012821245760344211	7ed9e451-e307-5981-af9d-59def60aebdb
PMC3766266	ERBB3 is a marker of a ganglioneuroblastoma/ganglioneuroma-like expression profile in neuroblastic tumours	1476-4598-12-70-S6.xlsx	c2_all_v3_1_symbols_7ARACNE_FAe-Unnamed_149	algorithms have been developed, and in the current study we chose the ARACNE algorithm [2**6**]  Additional file 6Gene networks used for GSEA analysis. The table presents the gene network members of all c2 curate gene sets (4850 in total) from MSigDB (www.broadinstitute.org/gsea/msigdb), and seven ARACNE gene networks used in the GSEA analyses  Click here for file	708	10	3.691873098652759	0.0003548922276280651	0.012821245760344211	610f6aab-895a-5f8e-9bf2-1b8d9051322d
PMC8923442	Zika virus disrupts gene expression in human myoblasts and myotubes: Relationship with susceptibility to infection	pntd.0010166.s009.xlsx	S2B_Table-Unnamed_3	8.446, and the miR-3923-3p the most downregulated with a log2 fold change of -6.518 (**S2A Table**)  Differentially expressed miRNAs in muscle cells during differentiation or after ZIKV infection.(A) Differentially expressed miRNAs in mock myotubes over mock myoblasts; (B) Differentially expressed miRNAs in mock myotubes over mock myoblasts and their validated targets; (C) Differentially expressed miRNAs in ZIKV-infected myoblasts; (D) Differentially expressed miRNAs in ZIKV-infected myotubes; (E) Differentially expressed miRNAs in ZIKV-infected myoblasts and their validated targets; (F) Differentially expressed miRNAs in ZIKV-infected myotubes and their validated targets.(XLSX)  Click here for additional data file	1456	15	2.692836010143703	0.00035553587279746503	0.012843902573998665	1e32cbd5-263e-5cb3-81d6-9d8b79ac586b
PMC9371970	Deep Visual Proteomics defines single-cell identity and heterogeneity	41587_2022_1302_MOESM12_ESM.xlsx	ANOVA_significant-ENSG	Proteins differentially regulated among all cell classes of the primary melanoma based on ANOVA analysis with a permutation-based FDR < 0.05	1792	17	2.479653159340659	0.00035616590652862997	0.012866065587391626	abef0dc2-56dc-542b-af0d-4dc143f5bb6a
PMC9313526	The human amniotic epithelium confers a bias to differentiate toward the neuroectoderm lineage in human embryonic stem cells	elife-68035-supp1.xlsx	vs_3iL_H1_hESC-gene_symbol	hESC-iMEF, AMIQ hESC-iMEF, AMIQ hESC-iMEF-CM, AMIQ hESC-hAEC-CM, and hAEC, respectively (Figure 3—figure supplement 1, **Supplementary file 1**)  List of genes with differential expression in AMIQ human embryonic stem cells (hESC)-human amniotic epithelial cells (hAEC) compared to other culture conditions	1624	16	2.578393246703974	0.00035644631166212716	0.012875597216400959	d753e8e6-77f2-55cd-bfb4-e1813352942f
PMC3644490	Genomic meta-analysis of growth factor and integrin pathways in chronic kidney transplant injury	1471-2164-14-275-S7.xlsx	Sheet1-Growth_Factor_Signaling_Pathway_biomarker_Candidates_34_78_molecules	expressed growth factor pathways (HGF, VEGF, EGF, IGF-1, TGF-β and PDGF), 10 of the **7**  Additional file 7Growth Factor Signaling Pathway biomarker Candidates (34/78 molecules)  Click here for file	346	7	5.288128056914184	0.00035743007620483427	0.012908137117905475	cf476c93-8c0c-5695-8076-eb9868827023
PMC6345883	Temporal dynamics in meta longitudinal RNA-Seq data	41598_2018_37397_MOESM6_ESM.xlsx	DESEQ_D0VSD1-gene_short_name	biases in both static and dynamic methods by pipeline 2, using pooled data (Dataset **S5**)  Dataset S3-(3)	346	7	5.288128056914184	0.00035743007620483427	0.012908137117905475	3139e9f0-7bc1-53d4-8122-5fc9c85948fb
PMC4945013	Comorbid Analysis of Genes Associated with Autism Spectrum Disorders Reveals Differential Evolutionary Constraints	pone.0157937.s007.xlsx	Supp_tableA_csv-Unnamed_14	with Autism Spectrum Disorders (ASD) and disorders comorbid to autism (complete list provided in **S5 Table**)  Complete list of genes involved in each disorder analyzed.(XLSX)  Click here for additional data file	346	7	5.288128056914184	0.00035743007620483427	0.012908137117905475	fda687b9-b3d8-5df0-8d28-9cbd5279bdcf
PMC5399393	Cross-disorder comparative analysis of comorbid conditions reveals novel autism candidate genes	12864_2017_3667_MOESM4_ESM.xlsx	Sheet1-Down_Syndrome	We retrieved from the literature [17–2**4**]  Total number of genes of each comorbid condition utilized for this study. Highlighted in blue are ASD sibling disorders. (XLSX 135 kb)	346	7	5.288128056914184	0.00035743007620483427	0.012908137117905475	fda687b9-b3d8-5df0-8d28-9cbd5279bdcf
PMC11706425	PBPK modeling: What is the role of CYP3A4 expression in the gastrointestinal tract to accurately predict first‐pass metabolism?	PSP4-14-130-s003.xlsx	StudiesGeneral-Unnamed_5		362	7	5.288128056914184	0.00035743007620483427	0.012908137117905475	e807b3e4-7a4d-5d6b-ba2f-60f597b154e4
PMC3281846	Signaling Networks Associated with AKT Activation in Non-Small Cell Lung Cancer (NSCLC): New Insights on the Role of Phosphatydil-Inositol-3 kinase	pone.0030427.s018.xls	CELL_GROWTH_AND_PROLIFERATION-Symbol	respective normalised values will be available at ArrayExpress and are provided in additional files (**Table S11**)  Genes significantly increased or decreased in BEAS-2B vs BEAS-PI3KCA-E545K. Expression microarray (HT-12_V3_0_R1) data were prefiltered to remove genes changing less than 1.5 fold, and a t-test was run to determine significant (p<0.01) changers. A multiple testing correction using the algorithm of Benjamini and Hochberg was used to reduce the false discovery rate. See file attached.(XLS)  Click here for additional data file	346	7	5.288128056914184	0.00035743007620483427	0.012908137117905475	b6d4b04c-cc38-51e5-9f88-6fc3fa9de9ba
PMC8917624	Integrative analysis reveals a lineage-specific circular RNA landscape for adipo-osteogenesis of human mesenchymal stem cells	13287_2022_2792_MOESM5_ESM.xlsx	OS_specific-Supplementary_Table_4_Significantly_differentially_expressed_circRNA_genes_in_induced_AMSCs_from_RiboMinusRNase_R_data	AMSCs are important source for stem cell therapies in addition to BMSCs [4**5**]  Additional file 5. Table S4: Significantly differentially expressed circRNA genes in induced AMSCs from RiboMinus/RNase R data	990	12	3.1682983682983688	0.00035757133789880117	0.012912040217294583	546fbe45-6c99-5c5d-a2d9-d0ccd63e423d
PMC5759268	Epigenetic supersimilarity of monozygotic twin pairs	13059_2017_1374_MOESM2_ESM.xlsx	Table_S4-Bin_Intragenic_to_Genes	Clearly, h**2**  Supplementary tables. (XLSX 808 kb)	991	12	3.1682983682983688	0.00035757133789880117	0.012912040217294583	b7654b39-977d-5393-ab42-dcb207de8796
PMC7004528	Japanese version of The Cancer Genome Atlas, JCGA, established using fresh frozen tumors obtained from 5143 cancer patients	CAS-111-687-s003.xlsx	TableS2-Table_S2_Cancer_driver_genes_n_914_and_cancer-related_genes_n_1074	list of 1988 genes including oncogene/TSG classification and pathway information is provided in Table **S2**  Click here for additional data file	1968	18	2.391928356341168	0.0003576844703940068	0.012915358351906107	3ff2575c-9f99-562f-9505-4409f5547bc5
PMC8505249	Decreased DNA methylation at promoters and gene-specific neuronal hypermethylation in the prefrontal cortex of patients with bipolar disorder	41380_2021_1079_MOESM6_ESM.xlsx	Sheet1-Unnamed_5	We then identified DMRs between BD patients and controls (Tables S2 and **S3**)  Supplementary Table S3	846	11	3.3986179305328243	0.00035769641880281454	0.012915358351906107	c13460d4-b6c2-5774-a7b7-d1d5b8386047
PMC11128929	Decoding common genetic alterations between Barrett's esophagus and esophageal adenocarcinoma: A bioinformatics analysis	mmc1.xlsx	GSE_1420_DEGs-Gene_Symbol		579	9	4.062973296133918	0.00035800653596653354	0.012925356362198836	05fab1c1-e867-57ff-a5ee-b071b4cb49d8
PMC6876711	Resolving the fibrotic niche of human liver cirrhosis at single cell level	EMS84316-supplement-Suppl_Table_10.xlsx	Gene_per_Signature-Module_1		579	9	4.062973296133918	0.00035800653596653354	0.012925356362198836	7868c6c4-210b-5598-89ee-704d935bb1ec
PMC12425806	Multiancestry brain pQTL fine-mapping and integration with genome-wide association studies of 21 neurologic and psychiatric conditions	41588_2025_2291_MOESM3_ESM.xlsx	Table_S27-Unnamed_1		1457	15	2.6909878042342013	0.0003581468239163876	0.012929221625184003	18430d91-b1b3-5a57-b2cc-5f91c7e1b326
PMC4841783	The cell proliferation antigen Ki-67 organises heterochromatin	elife-13722-fig8-data2.xls	Hela_shRNA_Ki-67_vs_CTRL_p_0_02-GeneSymbol	(A) Northern-blot analysis of total RNA extracted from HeLa and U**2**  Ki-67-dependent transcriptome in HeLa cells.Table showing statistically significant (corrected p value <0.02, Fold-change >1.5) changes of transcript abundance from Agilent Gene chip analysis of cDNA from control HeLa (pGIPZ-shRNA non silencing control) and HeLa stably silenced (pGIPZ-Ki-67 shRNA) for Ki-67.DOI: http://dx.doi.org/10.7554/eLife.13722.034	1457	15	2.6909878042342013	0.0003581468239163876	0.012929221625184003	15b2d1dd-742c-5358-8251-c1e443e18869
PMC4737245	Elevated O‐GlcNAc Levels Activate Epigenetically Repressed Genes and Delay Mouse ESC Differentiation Without Affecting Naïve to Primed Cell Transition	STEM-32-2605-s005.xls	Sheet1-Bivalent_PRC1-	Supporting Information Table 5  Click here for additional data file	709	10	3.68666594336552	0.00035886774900070837	0.012953444586669123	34231329-281d-5400-b843-1b3b0bd78bfd
PMC3487959	Gene expression anti-profiles as a basis for accurate universal cancer signatures	1471-2105-13-272-S3.xlsx	SuppTable4_csv-symbol	associated median expression and median absolute deviation of expression are provided in Additional file **3**  Additional file 3Table S4. Universal cancer anti-profile. Contains Affymetrix probeset ids and normal expression median and median absolute deviation  Click here for file	709	10	3.68666594336552	0.00035886774900070837	0.012953444586669123	adf6e125-ed7f-5814-a673-e890d9e9a4bf
PMC10651039	Carbon dioxide regulates cholesterol levels through SREBP2	pbio.3002367.s016.xlsx	Figure_3A-B-NaOH_upstream_regulator_analysis	S1 Table. The data underlying the graphs shown in the figure is included in **S1 Data**  Original data for the different graphs (separate file).Each tab includes data for individual panels of main and supplementary figures as referred to in the figure captions.(XLSX)  Click here for additional data file	709	10	3.68666594336552	0.00035886774900070837	0.012953444586669123	89e32031-1e3f-511c-a182-2f54df1d3882
PMC10651039	Carbon dioxide regulates cholesterol levels through SREBP2	pbio.3002367.s011.xlsx	Sheet1-NaOH_upstream_regulator_analysis	The top transcription factors, with the highest p-value, are presented (for full list, see **S4 Table**)  Upstream gene expression regulator analysis (separate file).Full list of upstream gene expression regulators in the different clusters (as in Fig 3A and 3B) in NIH3T3 cells exposed to either low CO2 or NaOH for 2 h and 4 h.(XLSX)  Click here for additional data file	709	10	3.68666594336552	0.00035886774900070837	0.012953444586669123	89e32031-1e3f-511c-a182-2f54df1d3882
PMC6049916	Inference of cell type content from human brain transcriptomic datasets illuminates the effects of age, manner of death, dissection, and psychiatric diagnosis	pone.0200003.s006.txt	Unnamed_359	**S5 Table**  A .gmt file created using our database of cell type specific genes for use with Gene set enrichment analysis (GSEA).This file should be in the correct format for usage with either GSEA (http://software.broadinstitute.org/gsea/index.jsp) or similar software.(TXT)  Click here for additional data file	458	8	4.565670137722539	0.0003595896377410845	0.012975890287242792	df86821d-46ba-5650-8bfe-0925775fcd12
PMC12277940	Proteomic Signatures Underlying Sleep, Circadian Activity Patterns, and Major Chronic Diseases	JPI-77-e70067-s001.xlsx	Supplementary_Table_22-Unnamed_1		458	8	4.565670137722539	0.0003595896377410845	0.012975890287242792	d339e671-b255-5565-b067-98bfa6082fd6
PMC12277940	Proteomic Signatures Underlying Sleep, Circadian Activity Patterns, and Major Chronic Diseases	JPI-77-e70067-s001.xlsx	Supplementary_Table_23-Unnamed_1		458	8	4.565670137722539	0.0003595896377410845	0.012975890287242792	d339e671-b255-5565-b067-98bfa6082fd6
PMC11218377	Unexpected regulatory functions of cyprinid Viperin on inflammation and metabolism	12864_2024_10566_MOESM6_ESM.xlsx	Table_S1_-_DEGs_CvsIFN_WT-Unnamed_3		458	8	4.565670137722539	0.0003595896377410845	0.012975890287242792	2672e433-8835-5d77-95a1-7ec01b1a9366
PMC10919539	Machine learning-based cell death signature for predicting the prognosis and immunotherapy benefit in stomach adenocarcinoma	medi-103-e37314-s001.xlsx	necrosis-id		458	8	4.565670137722539	0.0003595896377410845	0.012975890287242792	0b1d6ce5-8191-5c82-a8cd-324e0cb72f95
PMC11450150	Leveraging programmed cell death signature to predict clinical outcome and immunotherapy benefits in postoperative bladder cancer	41598_2024_73571_MOESM2_ESM.xlsx	necrosis-id		458	8	4.565670137722539	0.0003595896377410845	0.012975890287242792	0b1d6ce5-8191-5c82-a8cd-324e0cb72f95
PMC11876361	Machine learning analysis identified NNMT as a potential therapeutic target for hepatocellular carcinoma based on PCD-related genes	41598_2025_91625_MOESM2_ESM.xlsx	necrosis-id		458	8	4.565670137722539	0.0003595896377410845	0.012975890287242792	0b1d6ce5-8191-5c82-a8cd-324e0cb72f95
PMC12308848	Integrative spatial and single-cell transcriptomics elucidate programmed cell death-driven tumor microenvironment dynamics in hepatocellular carcinoma	Table1.xlsx	PCD_signatures-Unnamed_12		458	8	4.565670137722539	0.0003595896377410845	0.012975890287242792	0b1d6ce5-8191-5c82-a8cd-324e0cb72f95
PMC10511492	Machine learning developed a programmed cell death signature for predicting prognosis and immunotherapy benefits in lung adenocarcinoma	mmc2.xlsx	necrosis-id	Supplementary Table 1. Information about genes related to different kinds of programmed cell death	458	8	4.565670137722539	0.0003595896377410845	0.012975890287242792	0b1d6ce5-8191-5c82-a8cd-324e0cb72f95
PMC10651893	Implications of different cell death patterns for prognosis and immunity in lung adenocarcinoma	41698_2023_456_MOESM2_ESM.xlsx	necrosis-id	Supplementary Data 1	458	8	4.565670137722539	0.0003595896377410845	0.012975890287242792	0b1d6ce5-8191-5c82-a8cd-324e0cb72f95
PMC11032109	Human inherited PD-L1 deficiency is clinically and immunologically less severe than PD-1 deficiency	JEM_20231704_TableS3.xlsx	TableS3_GeneList_AllKnownIEI-SYMBOL		469	8	4.565670137722539	0.0003595896377410845	0.012975890287242792	dde26b6b-7f21-5a01-8e43-09954fb7acf0
PMC8858629	Single‐cell transcriptomics reveals pathogenic dysregulation of previously unrecognised chondral stem/progenitor cells in children with microtia	CTM2-12-e702-s008.xlsx	Chondral_lineage-Table_S3-1_Marker_genes_for_cell_subtypes_of_chondral_lineage	to intermediate chondrocytes (ICs) and finally to late chondrocytes (LCs) (Figure 2A,B and Figure **S3**)  Supporting Information  Click here for additional data file	458	8	4.565670137722539	0.0003595896377410845	0.012975890287242792	a809ced7-6b8c-56cd-86dc-72e7b0686316
PMC5236011	Networks of Cultured iPSC-Derived Neurons Reveal the Human Synaptic Activity-Regulated Adaptive Gene Program	mmc2.xlsx	Table_S1B-Unnamed_37	to previously published hiPSCd neuron and human fetal brain gene expression profiles (Figure S1; **Table S1**)  Table S1. Results of the ToppGene Suite Analysis of GO Category Over-Representation among Genes More Than 8-fold Up- or Downregulated after the Generation of NPCs from iPSCs and 7 Weeks of Neuronal Differentiation of NPCs, Related to the Experimental ProceduresResults of the ToppGene Suite analysis of GO category over-representation among genes more than 8-fold upregulated after generation of NPCs from iPSCs and 7 weeks of neuronal differentiation of NPCs (2106 genes). Results of the ToppGene Suite analysis of GO category over-representation among genes more than 8-fold downregulated after generation of NPCs from iPSCs and 7 weeks of neuronal differentiation of NPCs (2105 genes)	246	6	6.375234521575985	0.00035989392977230767	0.012979648464072499	844c6f7c-e6e3-5d83-a8d0-a9cbe3b078a5
PMC2747671	The Relationship of DNA Methylation with Age, Gender and Genotype in Twins and Healthy Controls	pone.0006767.s001.xls	table_age_mx-Unnamed_14	The associations with age of all 251 DNA methylation probes are listed in Supplementary **Table S1**  Full age results(0.12 MB XLS)  Click here for additional data file	246	6	6.375234521575985	0.00035989392977230767	0.012979648464072499	69feb514-70bf-5a83-baae-cbc6e5c64962
PMC2747671	The Relationship of DNA Methylation with Age, Gender and Genotype in Twins and Healthy Controls	pone.0006767.s002.xls	table_gen_mx-Unnamed_14	probes (20%) showed a significant effect of gender in the combined samples (see Supplementary **Table S2**)  Full gender results(0.13 MB DOC)  Click here for additional data file	246	6	6.375234521575985	0.00035989392977230767	0.012979648464072499	69feb514-70bf-5a83-baae-cbc6e5c64962
PMC8716076	RNA sequencing and proteomic profiling reveal different alterations by dietary methylmercury in the hippocampal transcriptome and proteome in BALB/c mice	mfab022_supplemental_tables.xlsx	Supplementary_Table_4B-Upstream_regulators_significantly_affected_following_IPA_analyses	numbers, protein names, isoelectric point, molecular weight, and protein identification metrics are provided in **Table S1**  Click here for additional data file	246	6	6.375234521575985	0.00035989392977230767	0.012979648464072499	c23d6886-e2d4-506f-9218-ee3ae86ee65c
PMC12131855	Integrated Multiomics Reveals Alterations in Paucimannose and Complex Type N-Glycans in Cardiac Tissue of Patients with COVID-19	mmc4.xlsx	Cardiomyocytes-Gene		246	6	6.375234521575985	0.00035989392977230767	0.012979648464072499	94973da5-12f3-5772-b9dd-d9b8985f6e28
PMC5225230	Induction of expression of aryl hydrocarbon receptor-dependent genes in human HepaRG cell line modified by shRNA and treated with β-naphthoflavone	11010_2016_2862_MOESM1_ESM.xlsx	u1_5fold--Unnamed_12	Supplementary material 1 (XLSX 32272 kb)	246	6	6.375234521575985	0.00035989392977230767	0.012979648464072499	b89fd88b-8629-54e6-9d9e-74aff0325c50
PMC9933378	Temporal transcriptome profiling of floating apical out chicken enteroids suggest stability and reproducibility	13567_2023_1144_MOESM6_ESM.xlsx	7-No_genes_in_cluster	largest 50 clusters from the network graph are provided in Additional files 5 and **6**  Additional file 6. GO term enrichment annotations for the genes in the largest 50 co-expression clusters. Table listing the representative GO term enrichment annotations for the genes in the largest 50 co-expression clusters derived from the network graph. Note, the Entrez Gene IDs are for human orthologs	246	6	6.375234521575985	0.00035989392977230767	0.012979648464072499	7795cebd-1f4a-51e9-a100-467c24e8d465
PMC10703419	Spatial transcriptomics reveals novel genes during the remodelling of the embryonic human arterial valves	pgen.1010777.s013.xlsx	de_Laughter-Queen	mouse AV/OFT compared to ventricle [35] and our top 250 revealed a 20% overlap (**S4 Table**)  Comparisons between the valve cluster and published datasets.Sheet 1: comparison of top 250 DEGs from Queen data (this manuscript) to DeLaughter et al (2013). Shared genes are in red. Sheet 2: list of top 250 DEGs from Queen data (this manuscript) and Asp et al (2019) clusters 5 and 6. Sheet 3: comparison of top 30 DEGs from Queen data (this manuscript) to Asp et al (2019) clusters 5 and 6. Shared genes are in green. Sheet 4. comparison of top 250 DEGs from Queen data (this manuscript) to Asp et al (2019) clusters 5 and 6. Shared genes are in green.(XLSX)  Click here for additional data file	246	6	6.375234521575985	0.00035989392977230767	0.012979648464072499	a3b43623-f63e-523f-a7fa-002be36cc1ba
