pmcid	pmcidTitle	table	column	description	geneSetSize	nOverlap	oddsRatio	pvalue	adjPvalue	geneSetHash
PMC7781605	Defining human mesenchymal and epithelial heterogeneity in response to oral inflammatory disease	elife-62810-data1.xlsx	All_clusters-gene	Cluster markers (all, stromal, epithelial)	1768	38	5.617995127044901	2.2687315270636347e-20	6.790618866668563e-16	bf18f759-c421-5ae0-b990-ac2734379ec9
PMC11515740	Disulfidptosis-related subtype and prognostic signature in prostate cancer	13062_2024_544_MOESM5_ESM.xlsx	DEG-id		863	29	8.783492289865407	2.5394387804054303e-20	6.894935173689384e-16	6eba91d5-3763-596b-9b9b-f3b7b0d54c28
PMC7475742	Serum Small Proline-Rich Protein 2A (SPRR2A) Is a Noninvasive Biomarker in Gastric Cancer	8493796.f1.xlsx	Sheet1-Unnamed_14	We screened for GC-associated genes in GC and normal gastric tissues using a gene chip and found that SPRR2A had increased expression in GC tissues as high as 12 times (described in the supplementary data), suggesting that SPRR2A may play an important role in the development of GC  Click here for additional data file	2284	42	4.808652582634186	2.5509248631745856e-20	6.894935173689384e-16	d96c5167-09bc-584b-a845-c227f9e4da07
PMC10357633	Single-cell RNA sequencing analysis of the temporomandibular joint condyle in 3 and 4-month-old human embryos	13578_2023_1069_MOESM5_ESM.csv	gene	Additional file 5	1545	36	6.094459944200877	2.5693814696066272e-20	6.894935173689384e-16	0d053e37-c076-5824-b969-835ba0c8d867
PMC7475742	Serum Small Proline-Rich Protein 2A (SPRR2A) Is a Noninvasive Biomarker in Gastric Cancer	8493796.f1.xlsx	Sheet1-Unnamed_1	We screened for GC-associated genes in GC and normal gastric tissues using a gene chip and found that SPRR2A had increased expression in GC tissues as high as 12 times (described in the supplementary data), suggesting that SPRR2A may play an important role in the development of GC  Click here for additional data file	2425	43	4.636773292713888	2.6982491194329896e-20	6.999393128265147e-16	7f0e3481-53b2-593d-a2d6-62fdda52ecd3
PMC9712199	Construction and validation of an angiogenesis-related scoring model to predict prognosis, tumor immune microenvironment and therapeutic response in hepatocellular carcinoma	Table_1.xlsx	Table_S1-Table_S1_Angiogenesis-related_genes_from_GeneCards	criteria were protein coding genes and relevance scores greater than the median value ( **Supplementary Table S1**)  Click here for additional data file	1137	32	7.356471145389351	2.997186274645091e-20	7.524049408783643e-16	cde2cd84-e131-567e-8aec-36b3ab4c527e
PMC10564429	Prognosis and immunoinfiltration analysis of angiogene-related genes in grade 4 diffuse gliomas	aging-15-205054-s004.xls	Sheet1-Supplementary_Table_4_Angiogenesis-related_genes_from_GeneCards_database	two reliable databases, namely GeneCards, from which we obtained a list of 1138 genes (**Supplementary Table 4**)	1137	32	7.356471145389351	2.997186274645091e-20	7.524049408783643e-16	cde2cd84-e131-567e-8aec-36b3ab4c527e
PMC12325208	WISP1 drives esophageal squamous cell carcinoma progression via modulation of cancer-associated fibroblasts and immune microenvironment	DataSheet4.csv	Gene		1445	35	6.335499680375027	3.156821812450823e-20	7.677144021176303e-16	40f0e61f-f7ac-5f38-95d6-a0d276af0f33
PMC5341955	Decreased TRPM7 inhibits activities and induces apoptosis of bladder cancer cells via ERK1/2 pathway	oncotarget-07-72941-s003.xlsx	FC_1_5-Gene_Symbol	microarray analysis (Approval in Supplementary Information S1), suggesting 1338 genes (fold change > 1.5) (**Supplementary Information S2**)	1242	33	6.9450018580453365	3.601237865239649e-20	8.492537349386283e-16	f1d8faca-4e80-5fe2-b4a7-714c0f49bc6d
PMC11983802	Single-cell transcriptomic analysis reveals prognosis-related stromal signatures that potentiate stratification of patients with extrahepatic cholangiocarcinoma	12876_2025_3829_MOESM3_ESM.xlsx	Major_celltypes-Unnamed_7		877	29	8.643276905534602	3.9452601340167533e-20	9.030178279981903e-16	8b3d43f9-1c1b-51f9-bbfd-5a894e4c4f99
