id,x,y,text,name
1347,26.9,3.7196709158338206,"Sample 1347 
              Patient: GTEX-12696-2226-SM-5EQ65 
              Expression: 3.7196709158338206
            ",NORMAL
1348,43.3,4.700113430844017,"Sample 1348 
              Patient: GTEX-11TT1-2026-SM-5EQM8 
              Expression: 4.700113430844017
            ",NORMAL
1349,37.59,4.448701775414807,"Sample 1349 
              Patient: GTEX-ZPU1-2026-SM-57WFI 
              Expression: 4.448701775414807
            ",NORMAL
1350,37.31,4.47122515565174,"Sample 1350 
              Patient: GTEX-Y8E4-2126-SM-5RQHO 
              Expression: 4.47122515565174
            ",NORMAL
1351,60.06,3.8807249071473726,"Sample 1351 
              Patient: GTEX-12C56-1326-SM-5FQSV 
              Expression: 3.8807249071473726
            ",NORMAL
1352,53.67,4.662680385958511,"Sample 1352 
              Patient: GTEX-11P7K-0626-SM-5985Z 
              Expression: 4.662680385958511
            ",NORMAL
1353,27.12,4.224799660130512,"Sample 1353 
              Patient: GTEX-YJ8A-1126-SM-5IFJU 
              Expression: 4.224799660130512
            ",NORMAL
1354,42.21,4.625259205717808,"Sample 1354 
              Patient: GTEX-1399T-1226-SM-5P9J5 
              Expression: 4.625259205717808
            ",NORMAL
1355,30.22,4.782477005733587,"Sample 1355 
              Patient: GTEX-ZTTD-2726-SM-57WFA 
              Expression: 4.782477005733587
            ",NORMAL
1356,6.95,5.141072997955784,"Sample 1356 
              Patient: GTEX-145LU-2126-SM-5Q5E9 
              Expression: 5.141072997955784
            ",NORMAL
1357,59.83,4.235953219272259,"Sample 1357 
              Patient: GTEX-11P82-1126-SM-5BC5K 
              Expression: 4.235953219272259
            ",NORMAL
1358,14.56,4.603039489833107,"Sample 1358 
              Patient: GTEX-13RTJ-2126-SM-5S2PZ 
              Expression: 4.603039489833107
            ",NORMAL
1359,50.38,4.381814703821549,"Sample 1359 
              Patient: GTEX-ZDYS-1226-SM-5IJF3 
              Expression: 4.381814703821549
            ",NORMAL
1360,38.35,4.964132707915425,"Sample 1360 
              Patient: GTEX-11ZUS-2126-SM-5N9E6 
              Expression: 4.964132707915425
            ",NORMAL
1361,41.13,3.8461283038228093,"Sample 1361 
              Patient: GTEX-WYJK-0626-SM-4ONCZ 
              Expression: 3.8461283038228093
            ",NORMAL
609,110.65,3.8509110918197007,"Sample 609 
              Patient: SAMEA4618852-1 
              Expression: 3.8509110918197007
            ",PRIMARY
610,111.08,3.8663972076043587,"Sample 610 
              Patient: SAMEA4618852-2 
              Expression: 3.8663972076043587
            ",PRIMARY
611,100.45,3.346286684975113,"Sample 611 
              Patient: SAMEA4618853-1 
              Expression: 3.346286684975113
            ",PRIMARY
612,100.62,3.3548577502776973,"Sample 612 
              Patient: SAMEA4618853-2 
              Expression: 3.3548577502776973
            ",PRIMARY
613,116.34,4.1195698855065706,"Sample 613 
              Patient: SAMEA4618854-1 
              Expression: 4.1195698855065706
            ",PRIMARY
614,116.72,4.223148096918684,"Sample 614 
              Patient: SAMEA4618854-2 
              Expression: 4.223148096918684
            ",PRIMARY
615,96.52,3.0584433407800464,"Sample 615 
              Patient: SAMEA4618855-1 
              Expression: 3.0584433407800464
            ",PRIMARY
616,96.24,3.0619173540129014,"Sample 616 
              Patient: SAMEA4618855-2 
              Expression: 3.0619173540129014
            ",PRIMARY
617,99.17,3.202873441480746,"Sample 617 
              Patient: SAMEA4618857-1 
              Expression: 3.202873441480746
            ",PRIMARY
618,99.19,3.2040053667698456,"Sample 618 
              Patient: SAMEA4618857-2 
              Expression: 3.2040053667698456
            ",PRIMARY
619,88,3.967411151603956,"Sample 619 
              Patient: SAMEA4618858-1 
              Expression: 3.967411151603956
            ",PRIMARY
620,87.8,3.9614203592413086,"Sample 620 
              Patient: SAMEA4618858-2 
              Expression: 3.9614203592413086
            ",PRIMARY
621,95.34,2.7094967185317222,"Sample 621 
              Patient: SAMEA4618859-1 
              Expression: 2.7094967185317222
            ",PRIMARY
622,95.65,2.717082953706785,"Sample 622 
              Patient: SAMEA4618859-2 
              Expression: 2.717082953706785
            ",PRIMARY
623,123.45,1.9803197688342327,"Sample 623 
              Patient: SAMEA4618860-1 
              Expression: 1.9803197688342327
            ",PRIMARY
624,124.86,2.0209233248673777,"Sample 624 
              Patient: SAMEA4618860-2 
              Expression: 2.0209233248673777
            ",PRIMARY
625,68.48,4.5635904219397645,"Sample 625 
              Patient: SAMEA4618861-1 
              Expression: 4.5635904219397645
            ",PRIMARY
626,69.04,4.593125719587486,"Sample 626 
              Patient: SAMEA4618861-2 
              Expression: 4.593125719587486
            ",PRIMARY
627,110.54,2.4290390109491744,"Sample 627 
              Patient: SAMEA4618862-1 
              Expression: 2.4290390109491744
            ",PRIMARY
628,111.13,2.4247843809477363,"Sample 628 
              Patient: SAMEA4618862-2 
              Expression: 2.4247843809477363
            ",PRIMARY
629,106.17,2.8010703810405557,"Sample 629 
              Patient: SAMEA4618863-1 
              Expression: 2.8010703810405557
            ",PRIMARY
630,106.56,2.794457507144398,"Sample 630 
              Patient: SAMEA4618863-2 
              Expression: 2.794457507144398
            ",PRIMARY
631,83.85,3.592954850542123,"Sample 631 
              Patient: SAMEA4618864-1 
              Expression: 3.592954850542123
            ",PRIMARY
632,83.08,3.589859525617025,"Sample 632 
              Patient: SAMEA4618864-2 
              Expression: 3.589859525617025
            ",PRIMARY
633,122.72,2.069260433715014,"Sample 633 
              Patient: SAMEA4618865-1 
              Expression: 2.069260433715014
            ",PRIMARY
634,123.64,2.079258803608171,"Sample 634 
              Patient: SAMEA4618865-2 
              Expression: 2.079258803608171
            ",PRIMARY
635,111.09,2.200277151042931,"Sample 635 
              Patient: SAMEA4618866-1 
              Expression: 2.200277151042931
            ",PRIMARY
636,111.72,2.198762727324951,"Sample 636 
              Patient: SAMEA4618866-2 
              Expression: 2.198762727324951
            ",PRIMARY
637,76.94,3.9550721654536187,"Sample 637 
              Patient: SAMEA4618867-1 
              Expression: 3.9550721654536187
            ",PRIMARY
638,76.31,3.940337487988566,"Sample 638 
              Patient: SAMEA4618867-2 
              Expression: 3.940337487988566
            ",PRIMARY
639,69.4,3.99001712943869,"Sample 639 
              Patient: SAMEA4618868-1 
              Expression: 3.99001712943869
            ",PRIMARY
640,68.7,3.995078468153264,"Sample 640 
              Patient: SAMEA4618868-2 
              Expression: 3.995078468153264
            ",PRIMARY
641,89,3.0237130820158247,"Sample 641 
              Patient: SAMEA4618869-1 
              Expression: 3.0237130820158247
            ",PRIMARY
642,88.74,3.039790338449373,"Sample 642 
              Patient: SAMEA4618869-2 
              Expression: 3.039790338449373
            ",PRIMARY
643,90.1,3.145151675184042,"Sample 643 
              Patient: SAMEA4618871-1 
              Expression: 3.145151675184042
            ",PRIMARY
644,90,3.16592600728483,"Sample 644 
              Patient: SAMEA4618871-2 
              Expression: 3.16592600728483
            ",PRIMARY
645,86.08,3.1635828533993937,"Sample 645 
              Patient: SAMEA4618872-1 
              Expression: 3.1635828533993937
            ",PRIMARY
646,85.4,3.1712483532794846,"Sample 646 
              Patient: SAMEA4618872-2 
              Expression: 3.1712483532794846
            ",PRIMARY
647,102.61,3.1820159285700718,"Sample 647 
              Patient: SAMEA4618873-1 
              Expression: 3.1820159285700718
            ",PRIMARY
648,103.23,3.1833061798853706,"Sample 648 
              Patient: SAMEA4618873-2 
              Expression: 3.1833061798853706
            ",PRIMARY
649,88.14,3.928600620570253,"Sample 649 
              Patient: SAMEA4618874-1 
              Expression: 3.928600620570253
            ",PRIMARY
650,88,3.942164360702835,"Sample 650 
              Patient: SAMEA4618874-2 
              Expression: 3.942164360702835
            ",PRIMARY
651,86.91,4.022858435653083,"Sample 651 
              Patient: SAMEA4618875-1 
              Expression: 4.022858435653083
            ",PRIMARY
652,86.28,4.025611983520295,"Sample 652 
              Patient: SAMEA4618875-2 
              Expression: 4.025611983520295
            ",PRIMARY
653,98.19,3.785713924415982,"Sample 653 
              Patient: SAMEA4618876-1 
              Expression: 3.785713924415982
            ",PRIMARY
654,98.16,3.78753367590642,"Sample 654 
              Patient: SAMEA4618876-2 
              Expression: 3.78753367590642
            ",PRIMARY
655,88.19,3.4375195784061403,"Sample 655 
              Patient: SAMEA4618877-1 
              Expression: 3.4375195784061403
            ",PRIMARY
