id,x,y,text,name
632,83.08,1.3868104974061177,"Sample 632 
              Patient: SAMEA4618864-2 
              Expression: 1.3868104974061177
            ",PRIMARY
633,122.72,0.7745903065186397,"Sample 633 
              Patient: SAMEA4618865-1 
              Expression: 0.7745903065186397
            ",PRIMARY
634,123.64,0.9412762158309385,"Sample 634 
              Patient: SAMEA4618865-2 
              Expression: 0.9412762158309385
            ",PRIMARY
635,111.09,0.8274392287019163,"Sample 635 
              Patient: SAMEA4618866-1 
              Expression: 0.8274392287019163
            ",PRIMARY
636,111.72,0.874491246334741,"Sample 636 
              Patient: SAMEA4618866-2 
              Expression: 0.874491246334741
            ",PRIMARY
637,76.94,2.215735948819347,"Sample 637 
              Patient: SAMEA4618867-1 
              Expression: 2.215735948819347
            ",PRIMARY
638,76.31,2.406120257721697,"Sample 638 
              Patient: SAMEA4618867-2 
              Expression: 2.406120257721697
            ",PRIMARY
639,69.4,2.7116115041557,"Sample 639 
              Patient: SAMEA4618868-1 
              Expression: 2.7116115041557
            ",PRIMARY
640,68.7,2.912690578333356,"Sample 640 
              Patient: SAMEA4618868-2 
              Expression: 2.912690578333356
            ",PRIMARY
641,89,1.5746094860827227,"Sample 641 
              Patient: SAMEA4618869-1 
              Expression: 1.5746094860827227
            ",PRIMARY
642,88.74,1.7296686837387083,"Sample 642 
              Patient: SAMEA4618869-2 
              Expression: 1.7296686837387083
            ",PRIMARY
643,90.1,1.3793089115952955,"Sample 643 
              Patient: SAMEA4618871-1 
              Expression: 1.3793089115952955
            ",PRIMARY
644,90,1.576407001745947,"Sample 644 
              Patient: SAMEA4618871-2 
              Expression: 1.576407001745947
            ",PRIMARY
645,86.08,1.6432644456892704,"Sample 645 
              Patient: SAMEA4618872-1 
              Expression: 1.6432644456892704
            ",PRIMARY
646,85.4,1.841184323024008,"Sample 646 
              Patient: SAMEA4618872-2 
              Expression: 1.841184323024008
            ",PRIMARY
647,102.61,1.7754269927765545,"Sample 647 
              Patient: SAMEA4618873-1 
              Expression: 1.7754269927765545
            ",PRIMARY
648,103.23,1.8806936988220064,"Sample 648 
              Patient: SAMEA4618873-2 
              Expression: 1.8806936988220064
            ",PRIMARY
649,88.14,2.00800078513872,"Sample 649 
              Patient: SAMEA4618874-1 
              Expression: 2.00800078513872
            ",PRIMARY
650,88,2.2288893163417485,"Sample 650 
              Patient: SAMEA4618874-2 
              Expression: 2.2288893163417485
            ",PRIMARY
651,86.91,2.176161130029684,"Sample 651 
              Patient: SAMEA4618875-1 
              Expression: 2.176161130029684
            ",PRIMARY
652,86.28,2.266859613990555,"Sample 652 
              Patient: SAMEA4618875-2 
              Expression: 2.266859613990555
            ",PRIMARY
653,98.19,1.0669943293454012,"Sample 653 
              Patient: SAMEA4618876-1 
              Expression: 1.0669943293454012
            ",PRIMARY
654,98.16,1.0994092166344842,"Sample 654 
              Patient: SAMEA4618876-2 
              Expression: 1.0994092166344842
            ",PRIMARY
655,88.19,1.6829412061551474,"Sample 655 
              Patient: SAMEA4618877-1 
              Expression: 1.6829412061551474
            ",PRIMARY
656,88,1.7990009108078182,"Sample 656 
              Patient: SAMEA4618877-2 
              Expression: 1.7990009108078182
            ",PRIMARY
657,91.62,1.652941898747217,"Sample 657 
              Patient: SAMEA4618878-1 
              Expression: 1.652941898747217
            ",PRIMARY
658,91.29,1.832498492916762,"Sample 658 
              Patient: SAMEA4618878-2 
              Expression: 1.832498492916762
            ",PRIMARY
659,81.1,1.8968210869678448,"Sample 659 
              Patient: SAMEA4618879-1 
              Expression: 1.8968210869678448
            ",PRIMARY
660,80.04,1.966660210820168,"Sample 660 
              Patient: SAMEA4618879-2 
              Expression: 1.966660210820168
            ",PRIMARY
661,100.07,1.2836768414717976,"Sample 661 
              Patient: SAMEA4618880-1 
              Expression: 1.2836768414717976
            ",PRIMARY
