Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
merged_Reactome_2022.gmt	Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912	3/193	5.913911e-01	8.114193e-01	1.141354e+00	5.995278e-01	KCNQ1OT1;FIRRE;PRKCA
merged_Reactome_2022.gmt	Androgen Biosynthesis R-HSA-193048	1/21	2.846055e-01	6.966367e-01	4.556674e+00	5.726150e+00	LHB
merged_Reactome_2022.gmt	Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851	4/329	7.670224e-01	9.139850e-01	8.554467e-01	2.268981e-01	ADCY9;LHB;GNB4;PRKCA
merged_Reactome_2022.gmt	Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695	4/61	1.579811e-02	3.866947e-01	4.913073e+00	2.037876e+01	SOS1;PTPN6;VAV1;CD19
merged_Reactome_2022.gmt	Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168	6/612	9.246672e-01	9.915764e-01	6.574504e-01	5.149245e-02	FBXO27;CBLL2;MIR155HG;FBXW7;FBXO44;FOXD2-AS1
merged_Reactome_2022.gmt	Antigen processing-Cross Presentation R-HSA-1236975	6/206	1.093218e-01	6.037930e-01	2.033288e+00	4.500600e+00	CYBB;IKBKB;CCR5AS;ITGB5;SEC61A1;TLR2
merged_Reactome_2022.gmt	Antimicrobial Peptides R-HSA-6803157	2/177	7.726199e-01	9.167386e-01	8.826915e-01	2.277062e-01	CCR6;TLR2
merged_Reactome_2022.gmt	Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410	5/164	1.191998e-01	6.095749e-01	2.160202e+00	4.594651e+00	MIR155HG;STAT1;FLNB;USP18;OASL
merged_Reactome_2022.gmt	Apoptosis Induced DNA Fragmentation R-HSA-140342	1/25	3.288469e-01	7.126118e-01	3.811912e+00	4.239468e+00	HMGB2
merged_Reactome_2022.gmt	Apoptosis R-HSA-109581	5/354	6.617607e-01	8.518741e-01	9.757592e-01	4.028435e-01	HMGB2;MIF-AS1;MIR155HG;ADD1;TP63
merged_Reactome_2022.gmt	Apoptotic Cleavage Of Cellular Proteins R-HSA-111465	1/75	6.981612e-01	8.678564e-01	1.250232e+00	4.492148e-01	ADD1
merged_Reactome_2022.gmt	Apoptotic Execution Phase R-HSA-75153	2/103	4.864664e-01	7.604126e-01	1.532316e+00	1.104168e+00	HMGB2;ADD1
merged_Reactome_2022.gmt	Aquaporin-mediated Transport R-HSA-445717	4/99	7.210552e-02	5.282833e-01	2.952114e+00	7.762952e+00	ADCY9;GNB4;PRKCA;MAPK4
merged_Reactome_2022.gmt	Arachidonic Acid Metabolism R-HSA-2142753	4/117	1.147846e-01	6.095749e-01	2.481539e+00	5.371781e+00	CRYZL2P-SEC16B;PON2;TBXAS1;LINC02532
merged_Reactome_2022.gmt	Asparagine N-linked Glycosylation R-HSA-446203	7/563	7.905126e-01	9.294564e-01	8.318499e-01	1.955460e-01	MAPK4;CRYZL2P-SEC16B;LHB;MIR210HG;FOXD2-AS1;ATP6V0E2-AS1;SLC35A1
merged_Reactome_2022.gmt	Aspirin ADME R-HSA-9749641	2/87	4.011127e-01	7.396512e-01	1.820627e+00	1.663166e+00	UGT2B15;UGT2B17
