Feature,Importance
KLRK1-AS1,3.236865446013045e-10
VDAC1,3.22275455763209e-10
FEN1,3.2110683302498656e-10
CDK6,3.195015220832462e-10
PARP10,3.1876641304017316e-10
UNC5A,3.1745486377162494e-10
TFAP2E,3.164326366673495e-10
TPMT,3.1353001930901895e-10
SGO1-AS1,3.1336709773235593e-10
CBLL1-AS1,3.1032496698496635e-10
JARID2-DT,3.0884139830774116e-10
AURKB,3.0826298668703836e-10
HPSE2,3.032886604704491e-10
LINC01187,3.0232642100309417e-10
WNT3A,3.000593158911692e-10
RAMP1,2.9849820196337305e-10
CYB5A,2.9827263549086857e-10
PPP1R15B-AS1,2.96509545370885e-10
ZNF516-AS1,2.9634070269558666e-10
HDAC7,2.96317350921609e-10
TWIST2,2.961409694449325e-10
SLC16A2,2.959099978549838e-10
SPRY2,2.9372095339500544e-10
RABGGTA,2.925772473905586e-10
MINPP1,2.8950344803447783e-10
QKI,2.8763808282456235e-10
B3GNT9,2.871602837187681e-10
ALOX15,2.859640498190167e-10
NEIL2,2.8149296800479334e-10
PGR,2.8104041048287217e-10
CTSS,2.783141485072731e-10
MTF2,2.7787238558515017e-10
MSMO1,2.77253487308273e-10
ST6GAL1,2.761141756387502e-10
SORD,2.756330301355583e-10
PYGB,2.7548867650933846e-10
PTEN,2.727982950452722e-10
DNMT1,2.7209491487760965e-10
NKX2-1-AS1,2.705904825096104e-10
LAMP1,2.694885325783699e-10
TMEM220-AS1,2.6927995184133714e-10
ST8SIA6,2.692304508345258e-10
MAP2K4,2.6866872793977567e-10
HFE,2.6822817650214857e-10
LAMC1,2.6707543383303407e-10
TAF4,2.6114736168639255e-10
SOAT1,2.608382534004288e-10
PCOTH,2.5995073791778984e-10
CA2,2.59787045394668e-10
NUDT7,2.580612877416984e-10
ARRB1,2.575025154875548e-10
CDK6-AS1,2.5708978935096833e-10
PRIM1,2.537479999280761e-10
H2AZ1,2.5355850960715123e-10
HK1,2.524650678807267e-10
SLC29A4,2.5239218237818225e-10
RHPN1-AS1,2.509407904957406e-10
VHL,2.5067589087220374e-10
LRP4-AS1,2.476421168664498e-10
FAAH2,2.4590648758774463e-10
TMC3-AS1,2.451164076793093e-10
HMGCLL1,2.4466446255845296e-10
ZNF18,2.4442695305253687e-10
PRKAR1B-AS1,2.439202856265111e-10
INPP5E,2.427490165692687e-10
ZNF853,2.426607406131873e-10
SRSF8,2.4125767710062727e-10
GNG4,2.408207278039776e-10
DBT,2.3935238388011075e-10
ANO7,2.388847596210093e-10
ING3,2.3864439311642604e-10
GOT2,2.352886946352545e-10
THY1-AS1,2.336988183003633e-10
ACTA2-AS1,2.3312484645305947e-10
NUAK1,2.3024246842961192e-10
LINC02875,2.301736266707082e-10
PPP1R14B-AS1,2.2945783693579648e-10
PINK1,2.2913563173524793e-10
CYB5R2,2.2857712314045504e-10
OAS3,2.2666970373705452e-10
PLCG1,2.2653956001139718e-10
MTHFD1,2.259442007690358e-10
CKB,2.2564792845076247e-10
NR4A2,2.2459889384625918e-10
HELLPAR,2.2438621587410332e-10
EGILA,2.2218602618328436e-10
CMBL,2.2174809228376384e-10
ZNF660,2.2129285550211364e-10
EZH2,2.2124492741036522e-10
LINC01612,2.2116346799049673e-10
TIMP1,2.1945440403000188e-10
E2F3,2.188711374024847e-10
TRPC7,2.188402754738858e-10
ENTPD1,2.1765052353459193e-10
SLC5A1,2.1752058935674055e-10
SUCLA2-AS1,2.158324103022005e-10
LINC01637,2.1564493072072167e-10
NOSTRIN,2.1427527334980885e-10
RDH11,2.1396075982909976e-10
NLRP12,2.1307434844319548e-10
ELOVL7,2.1207622387492072e-10
GNB2,2.1044880796218328e-10
ZNF676,2.1010985884587285e-10
