source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
FGR	IQGAP3	FGR	IQGAP3	0.2659	-0.0831	-0.0582	-0.1186	0.3857
FGR	IRAG1-AS1	FGR	IRAG1-AS1	0.1722	0.5255	0.5204	0.7043	0.0000
FGR	IRAK2	FGR	IRAK2	0.2247	-0.2218	-0.1596	-0.1997	0.0193
FGR	IRF2BP1	FGR	IRF2BP1	0.1882	0.3040	0.3007	0.2154	0.0012
FGR	IRF3	FGR	IRF3	0.3362	0.6681	0.6375	0.3832	0.0000
FGR	IRF8	FGR	IRF8	0.2366	0.3767	0.2790	0.2287	0.0000
FGR	IRF9	FGR	IRF9	0.1985	0.3820	0.4067	0.2403	0.0000
FGR	ISG20L2	FGR	ISG20L2	0.1749	0.1317	0.1450	0.0659	0.1682
FGR	ISM1	FGR	ISM1	0.2959	0.1603	0.1742	0.2045	0.0929
FGR	ISOC2	FGR	ISOC2	0.2858	0.3798	0.4281	0.3400	0.0000
FGR	ISY1	FGR	ISY1	0.2313	0.1666	0.1692	0.0803	0.0806
FGR	ITCH	FGR	ITCH	0.1770	0.1751	0.1502	0.0881	0.0661
FGR	ITGA7	FGR	ITGA7	0.3481	0.4368	0.5307	0.4216	0.0000
FGR	ITGAX	FGR	ITGAX	0.3370	0.4656	0.4156	0.7689	0.0000
FGR	ITGB1-DT	FGR	ITGB1-DT	0.1948	0.1900	0.1756	0.2837	0.0458
FGR	ITGB2	FGR	ITGB2	0.1654	0.4244	0.4351	0.5637	0.0000
FGR	ITGB2-AS1	FGR	ITGB2-AS1	0.1522	0.4423	0.4481	0.9196	0.0000
FGR	ITGB3	FGR	ITGB3	0.2315	0.0668	0.0222	0.0854	0.4859
FGR	ITGB7	FGR	ITGB7	0.4635	0.6383	0.6606	0.5603	0.0000
FGR	ITIH1	FGR	ITIH1	0.1508	0.2833	0.2542	0.4347	0.0026
FGR	ITIH2	FGR	ITIH2	0.1938	0.2296	0.1740	0.1801	0.0154
FGR	ITPA	FGR	ITPA	0.4338	0.4812	0.5311	0.3052	0.0000
FGR	ITPK1	FGR	ITPK1	0.3049	0.4734	0.4553	0.2921	0.0000
FGR	ITPR3	FGR	ITPR3	0.1567	0.3000	0.2828	0.2085	0.0014
FGR	ITPRID2-DT	FGR	ITPRID2-DT	0.3452	-0.1822	-0.1982	-0.2290	0.0556
FGR	ITPRIP	FGR	ITPRIP	0.2453	0.0637	0.0774	0.0610	0.5063
