source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
CAPN15	STUB1	CAPN15	STUB1	0.4088	0.7878	0.6820	0.7186	0.0000
CAPN15	STUM	CAPN15	STUM	0.2139	0.3653	0.4686	1.0817	0.0001
CAPN15	STX7	CAPN15	STX7	0.3662	0.4318	0.5267	0.5178	0.0000
CAPN15	STYK1	CAPN15	STYK1	0.2060	0.3026	0.2873	0.5835	0.0012
CAPN15	STYX	CAPN15	STYX	0.3066	0.5157	0.5460	0.4425	0.0000
CAPN15	SUCLG2	CAPN15	SUCLG2	0.3550	0.5038	0.5713	0.3784	0.0000
CAPN15	SUCLG2-DT	CAPN15	SUCLG2-DT	0.2885	0.3766	0.4134	0.5382	0.0000
CAPN15	SUFU	CAPN15	SUFU	0.4596	0.7262	0.7497	0.6441	0.0000
CAPN15	SULT1A2	CAPN15	SULT1A2	0.2006	0.2277	0.2663	0.3496	0.0162
CAPN15	SUMO1	CAPN15	SUMO1	0.3687	0.0594	0.0501	0.0399	0.5360
CAPN15	SUMO2P6	CAPN15	SUMO2P6	0.1967	0.2197	0.2015	0.3117	0.0205
CAPN15	SUOX	CAPN15	SUOX	0.2203	0.2703	0.2795	0.4193	0.0041
CAPN15	SUSD1	CAPN15	SUSD1	0.2214	0.4723	0.5332	0.5930	0.0000
CAPN15	SUV39H2	CAPN15	SUV39H2	0.4387	0.3621	0.4904	0.4010	0.0001
CAPN15	SYCE3	CAPN15	SYCE3	0.2398	0.1822	0.1348	0.2628	0.0556
CAPN15	SYNDIG1L	CAPN15	SYNDIG1L	0.2250	0.2881	0.1760	0.4752	0.0022
CAPN15	SYNE1	CAPN15	SYNE1	0.2706	0.1695	0.2579	0.1163	0.0753
CAPN15	SYNGAP1	CAPN15	SYNGAP1	0.3688	0.5419	0.5772	0.4958	0.0000
CAPN15	SYNGR1	CAPN15	SYNGR1	0.2094	0.3758	0.3784	0.8400	0.0000
CAPN15	SYNGR4	CAPN15	SYNGR4	0.1775	0.0666	0.1587	0.0928	0.4872
CAPN15	SYNJ2-IT1	CAPN15	SYNJ2-IT1	0.2671	-0.1530	-0.1972	-0.2010	0.1089
CAPN15	SYNPO	CAPN15	SYNPO	0.3730	0.2632	0.2669	0.8405	0.0052
CAPN15	SYP	CAPN15	SYP	0.4182	0.4193	0.4283	0.5120	0.0000
CAPN15	SYPL1P2	CAPN15	SYPL1P2	0.2330	0.2002	0.2466	0.3603	0.0351
CAPN15	SYT5	CAPN15	SYT5	0.2434	-0.0826	-0.0808	-0.1712	0.3888
CAPN15	SYT8	CAPN15	SYT8	0.4517	0.3285	0.3437	0.5816	0.0004
CAPN15	SYT9	CAPN15	SYT9	0.1491	0.2450	0.3420	0.3986	0.0096
CAPN15	SYT9-AS1	CAPN15	SYT9-AS1	0.2934	0.2403	0.3775	0.2869	0.0111
CAPN15	SYVN1	CAPN15	SYVN1	0.5186	0.5781	0.6536	0.3732	0.0000
CAPN15	TAB3P1	CAPN15	TAB3P1	0.1955	-0.0707	-0.0098	-0.1198	0.4611
CAPN15	TAC4	CAPN15	TAC4	0.3772	0.2533	0.3642	0.2408	0.0073
CAPN15	TADA3	CAPN15	TADA3	0.5814	0.6947	0.7506	0.5660	0.0000
CAPN15	TAF12	CAPN15	TAF12	0.3815	0.3678	0.5111	0.3118	0.0001
CAPN15	TAF2	CAPN15	TAF2	0.1895	0.0288	0.1426	0.0210	0.7643
CAPN15	TAF4	CAPN15	TAF4	0.6136	0.7832	0.7651	0.6221	0.0000
CAPN15	TAF6	CAPN15	TAF6	0.6105	0.7503	0.7783	0.4865	0.0000
CAPN15	TAF9P3	CAPN15	TAF9P3	0.1788	0.3471	0.3923	0.3981	0.0002
CAPN15	TALDO1	CAPN15	TALDO1	0.2807	0.7093	0.7185	0.8524	0.0000
CAPN15	TAOK1	CAPN15	TAOK1	0.3078	0.3787	0.5143	0.3233	0.0000
CAPN15	TAOK2	CAPN15	TAOK2	0.3248	0.6764	0.7160	0.4905	0.0000
CAPN15	TAP2	CAPN15	TAP2	0.4264	0.4587	0.5657	0.3251	0.0000
CAPN15	TAPBP	CAPN15	TAPBP	0.3915	0.7549	0.7037	0.5510	0.0000
CAPN15	TAPT1-AS1	CAPN15	TAPT1-AS1	0.1719	0.4308	0.4832	0.6656	0.0000
CAPN15	TARBP1	CAPN15	TARBP1	0.2247	0.1453	0.2104	0.1029	0.1282
CAPN15	TARS3	CAPN15	TARS3	0.3992	0.3572	0.4447	0.2581	0.0001
CAPN15	TAS1R3	CAPN15	TAS1R3	0.2579	0.3263	0.1949	0.6035	0.0005
CAPN15	TAS2R10	CAPN15	TAS2R10	0.2383	0.3993	0.4710	0.6781	0.0000
CAPN15	TAS2R14	CAPN15	TAS2R14	0.2260	0.4874	0.4299	0.6029	0.0000
CAPN15	TAS2R20	CAPN15	TAS2R20	0.3260	0.4791	0.4649	0.5399	0.0000
CAPN15	TAS2R30	CAPN15	TAS2R30	0.1706	0.0672	0.0269	0.0888	0.4833
CAPN15	TAS2R4	CAPN15	TAS2R4	0.2360	0.2481	0.3913	0.4502	0.0086
CAPN15	TAS2R64P	CAPN15	TAS2R64P	0.2601	0.2423	0.2960	0.4717	0.0104
CAPN15	TASOR	CAPN15	TASOR	0.4319	0.3562	0.5147	0.2514	0.0001
CAPN15	TAT	CAPN15	TAT	0.3093	0.1831	0.2203	0.2290	0.0544
CAPN15	TAX1BP1-AS1	CAPN15	TAX1BP1-AS1	0.2227	0.2147	0.2608	0.3112	0.0236
CAPN15	TBC1D2B	CAPN15	TBC1D2B	0.2162	0.2445	0.3354	0.3253	0.0097
CAPN15	TBC1D9	CAPN15	TBC1D9	0.1840	0.1763	0.1084	0.2580	0.0642
CAPN15	TBKBP1	CAPN15	TBKBP1	0.1554	0.2662	0.1399	0.6282	0.0048
CAPN15	TBX21	CAPN15	TBX21	0.1938	0.1109	0.1573	0.1327	0.2467
CAPN15	TBX6	CAPN15	TBX6	0.3185	0.6171	0.6092	0.8184	0.0000
CAPN15	TBXA2R	CAPN15	TBXA2R	0.3246	0.3983	0.4826	0.7876	0.0000
CAPN15	TCAF1	CAPN15	TCAF1	0.4262	0.5262	0.6386	0.5667	0.0000
CAPN15	TCAF1P1	CAPN15	TCAF1P1	0.1488	0.4023	0.5370	0.6883	0.0000
CAPN15	TCEAL1	CAPN15	TCEAL1	0.1914	0.1424	0.1398	0.1316	0.1360
CAPN15	TCEAL9	CAPN15	TCEAL9	0.3393	0.1086	0.2104	0.2645	0.2567
CAPN15	TCEANC2	CAPN15	TCEANC2	0.4008	0.5203	0.6506	0.7670	0.0000
CAPN15	TCF19	CAPN15	TCF19	0.3019	0.4948	0.5200	0.5027	0.0000
CAPN15	TCF20	CAPN15	TCF20	0.2692	0.2984	0.4317	0.2131	0.0015
CAPN15	TCF3	CAPN15	TCF3	0.5120	0.7640	0.7047	0.7716	0.0000
CAPN15	TCHP	CAPN15	TCHP	0.3031	0.5487	0.6043	0.5800	0.0000
CAPN15	TCL1A	CAPN15	TCL1A	0.7626	0.5027	0.6414	1.1346	0.0000
CAPN15	TCL6	CAPN15	TCL6	0.3163	0.3746	0.5333	0.8255	0.0001
CAPN15	TCP10L	CAPN15	TCP10L	0.2172	0.3563	0.3779	0.5252	0.0001
CAPN15	TCP10L2	CAPN15	TCP10L2	0.3344	-0.1286	-0.0839	-0.2451	0.1784
CAPN15	TCTA	CAPN15	TCTA	0.3845	0.5849	0.6460	0.7093	0.0000
CAPN15	TDH-AS1	CAPN15	TDH-AS1	0.3988	0.1566	0.2065	0.2171	0.1008
CAPN15	TDRD12	CAPN15	TDRD12	0.2148	0.2010	0.3100	0.4577	0.0344
CAPN15	TDRKH	CAPN15	TDRKH	0.3012	0.5007	0.5898	0.5799	0.0000
CAPN15	TEAD2	CAPN15	TEAD2	0.5114	0.5060	0.6507	0.5847	0.0000
CAPN15	TEDC1	CAPN15	TEDC1	0.3045	0.2362	0.0805	0.3105	0.0126
CAPN15	TEDC2	CAPN15	TEDC2	0.2931	0.5093	0.5368	0.5367	0.0000
CAPN15	TEKT2	CAPN15	TEKT2	0.1727	-0.1342	-0.1171	-0.1538	0.1604
CAPN15	TEKT4P2	CAPN15	TEKT4P2	0.1662	0.3483	0.3421	1.2711	0.0002
CAPN15	TESK1	CAPN15	TESK1	0.6293	0.6292	0.6529	0.4504	0.0000
CAPN15	TESMIN	CAPN15	TESMIN	0.2263	0.2881	0.3744	0.5410	0.0022
CAPN15	TEX2	CAPN15	TEX2	0.3589	0.5732	0.6895	0.5459	0.0000
CAPN15	TEX22	CAPN15	TEX22	0.3579	0.5068	0.5132	0.7589	0.0000
CAPN15	TEX45	CAPN15	TEX45	0.2229	-0.0442	-0.0454	-0.0975	0.6451
CAPN15	TEX48	CAPN15	TEX48	0.3830	0.2294	0.4080	0.4214	0.0155
CAPN15	TEX53	CAPN15	TEX53	0.3115	0.2736	0.3520	0.3260	0.0037
CAPN15	TFAP2E	CAPN15	TFAP2E	0.3937	0.5373	0.5580	0.4404	0.0000
CAPN15	TFAP2E-AS1	CAPN15	TFAP2E-AS1	0.3988	0.6356	0.6539	0.7824	0.0000
CAPN15	TFAP4	CAPN15	TFAP4	0.4460	0.6305	0.6758	0.7537	0.0000
CAPN15	TFCP2	CAPN15	TFCP2	0.5306	0.5753	0.6877	0.4249	0.0000
CAPN15	TFDP1P2	CAPN15	TFDP1P2	0.2870	0.4941	0.4246	0.7317	0.0000
CAPN15	TFEB	CAPN15	TFEB	0.4187	0.6706	0.6872	0.7550	0.0000
CAPN15	TFEC	CAPN15	TFEC	0.2553	0.1607	0.1893	0.9477	0.0919
CAPN15	TFR2	CAPN15	TFR2	0.2427	0.1909	0.4132	0.3260	0.0447
CAPN15	TG	CAPN15	TG	0.3096	0.2454	0.3382	0.2462	0.0094
CAPN15	TGFB1	CAPN15	TGFB1	0.2614	0.3556	0.3084	0.2579	0.0001
CAPN15	TGFBR2	CAPN15	TGFBR2	0.2258	0.0124	0.1648	0.0096	0.8976
CAPN15	TGIF2P1	CAPN15	TGIF2P1	0.3344	0.3053	0.3981	0.5156	0.0011
CAPN15	TGM1	CAPN15	TGM1	0.3267	0.2859	0.3289	0.2927	0.0023
CAPN15	TGM2	CAPN15	TGM2	0.1813	-0.1153	-0.1717	-0.2956	0.2281
CAPN15	THAP1	CAPN15	THAP1	0.1886	0.1641	0.2170	0.1324	0.0853
CAPN15	THAP11	CAPN15	THAP11	0.3509	0.4558	0.5795	0.4629	0.0000
CAPN15	THAP12P3	CAPN15	THAP12P3	0.2316	0.1404	0.1344	0.2648	0.1417
CAPN15	THAP3	CAPN15	THAP3	0.5266	0.5848	0.5855	0.5411	0.0000
CAPN15	THAP8	CAPN15	THAP8	0.4693	0.7012	0.6852	0.9467	0.0000
CAPN15	THBS2	CAPN15	THBS2	0.2500	0.3003	0.2776	0.8764	0.0014
CAPN15	THBS4	CAPN15	THBS4	0.1790	0.2983	0.3839	0.5183	0.0015
CAPN15	THEM5	CAPN15	THEM5	0.1799	0.2726	0.3644	0.5387	0.0038
CAPN15	THEM6	CAPN15	THEM6	0.4439	0.7500	0.7218	0.9953	0.0000
CAPN15	THOC3	CAPN15	THOC3	0.2651	0.5811	0.5637	0.4304	0.0000
CAPN15	THOC6	CAPN15	THOC6	0.2490	0.4244	0.3714	0.3191	0.0000
CAPN15	THOP1	CAPN15	THOP1	0.4287	0.6318	0.5839	0.4472	0.0000
CAPN15	THRA	CAPN15	THRA	0.2549	0.4710	0.5673	0.5634	0.0000
CAPN15	THRAP3	CAPN15	THRAP3	0.1567	0.1713	0.3559	0.1217	0.0722
CAPN15	THYN1	CAPN15	THYN1	0.3090	0.3528	0.4945	0.2935	0.0001
CAPN15	TIA1	CAPN15	TIA1	0.3372	0.3753	0.4238	0.3108	0.0000
CAPN15	TICAM1	CAPN15	TICAM1	0.1483	0.3190	0.2183	0.3567	0.0006
CAPN15	TIE1	CAPN15	TIE1	0.3438	0.0861	0.1829	0.1737	0.3691
CAPN15	TIFA	CAPN15	TIFA	0.1901	0.1285	0.2863	0.1719	0.1789
CAPN15	TIGAR	CAPN15	TIGAR	0.2305	-0.1853	-0.1924	-0.2194	0.0515
CAPN15	TIGD1	CAPN15	TIGD1	0.1711	0.1818	0.3436	0.1647	0.0562
CAPN15	TIGD5	CAPN15	TIGD5	0.3880	0.6476	0.5730	0.8164	0.0000
CAPN15	TIGD6	CAPN15	TIGD6	0.1480	0.1385	0.3182	0.1269	0.1472
CAPN15	TIGD7	CAPN15	TIGD7	0.1901	0.1971	0.2736	0.2094	0.0381
CAPN15	TILRLS	CAPN15	TILRLS	0.3357	0.3105	0.3987	0.4858	0.0009
CAPN15	TIMM13	CAPN15	TIMM13	0.6047	0.7330	0.6797	0.8497	0.0000
CAPN15	TJP3	CAPN15	TJP3	0.2056	0.5187	0.5610	0.7765	0.0000
CAPN15	TK2	CAPN15	TK2	0.2597	0.4436	0.4749	0.4443	0.0000
CAPN15	TKFC	CAPN15	TKFC	0.4913	0.5983	0.6409	0.4060	0.0000
CAPN15	TKT	CAPN15	TKT	0.2758	0.5677	0.5447	0.5966	0.0000
CAPN15	TKTL2	CAPN15	TKTL2	0.2508	0.0324	0.0357	0.0525	0.7356
CAPN15	TLCD4	CAPN15	TLCD4	0.1741	0.0064	0.0034	0.0144	0.9467
CAPN15	TLCD4-RWDD3	CAPN15	TLCD4-RWDD3	0.1444	0.1545	0.1212	0.2125	0.1055
CAPN15	TLCD5	CAPN15	TLCD5	0.4085	0.2611	0.3220	1.0651	0.0056
CAPN15	TLR3	CAPN15	TLR3	0.1605	0.0509	0.0396	0.1072	0.5960
CAPN15	TLR7	CAPN15	TLR7	0.3024	0.2773	0.3794	0.4992	0.0032
CAPN15	TM4SF19-AS1	CAPN15	TM4SF19-AS1	0.1966	0.2196	0.3143	0.3531	0.0206
CAPN15	TM4SF20	CAPN15	TM4SF20	0.3315	0.1588	0.2354	0.2176	0.0959
CAPN15	TM7SF2	CAPN15	TM7SF2	0.1863	0.6938	0.6182	0.5996	0.0000
CAPN15	TMC5	CAPN15	TMC5	0.2543	0.1435	0.1983	0.3446	0.1329
CAPN15	TMCC1-DT	CAPN15	TMCC1-DT	0.3318	0.3617	0.4444	0.6617	0.0001
CAPN15	TMCC3	CAPN15	TMCC3	0.2818	0.4880	0.4741	0.5362	0.0000
CAPN15	TMEM102	CAPN15	TMEM102	0.2936	0.3963	0.4113	0.5056	0.0000
CAPN15	TMEM106B	CAPN15	TMEM106B	0.4814	0.3208	0.4233	0.3575	0.0006
CAPN15	TMEM11-DT	CAPN15	TMEM11-DT	0.3494	0.4245	0.4473	0.6016	0.0000
CAPN15	TMEM129	CAPN15	TMEM129	0.5896	0.7393	0.6863	0.6022	0.0000
CAPN15	TMEM144	CAPN15	TMEM144	0.1792	0.2687	0.2409	0.5562	0.0043
CAPN15	TMEM147-AS1	CAPN15	TMEM147-AS1	0.3748	0.3745	0.5121	0.3883	0.0001
CAPN15	TMEM14B-DT	CAPN15	TMEM14B-DT	0.4676	0.3583	0.4509	0.6281	0.0001
